prev_version,version,closed,reversed,removed_uncovered,new,new_uncovered
5.2,6.3,0,0,0,22,7
6.3,7.2,2,0,29,302,47
7.2,8.2,1,0,0,29,3
8.2,9.0,0,0,0,16,3
9.0,10.1,4,1,0,15,5
10.1,11.3,2,0,0,11,2
11.3,12.1,0,0,0,12,3
12.1,13.1,0,0,0,11,1
13.1,14.1,2,0,0,17,3
14.1,15.1,2,0,0,10,1
15.1,16.1,0,0,0,19,7
16.1,17.1,0,0,0,24,5
17.1,18.1,0,0,0,11,5
18.1,19.2,0,0,0,19,2
