technique,entry_version,exit_version,years,mitigated,left_truncated
T1614.001,10.1,19.2,4.733744,False,False
T1615,10.1,19.2,4.733744,False,False
T1620,10.1,19.2,4.733744,False,False
T1622,11.3,19.2,4.079398,False,False
T1652,13.1,19.2,3.241615,False,False
T1665,15.1,19.2,2.258727,False,False
T1668,17.1,19.2,1.24846,False,False
T1673,17.1,19.2,1.24846,False,False
T1678,18.1,19.2,0.72553,False,False
T1679,18.1,19.2,0.72553,False,False
T1680,18.1,19.2,0.72553,False,False
T1687,19.2,19.2,0,False,False
