version,base,eff_low,clinical_floor,catastrophic_floor_k1,repair_10_k1,repair_05_k1,repair_10_k1_within_default
19.2,0.5,0.1,0.0001779785156,0.0002829858398,0,0,True
19.2,0.5,0.2,0.000125,0.00019875,0,0,True
19.2,0.5,0.35,6.704711914e-05,0.0001066049194,0,0,True
19.2,0.7,0.1,0.01009029837,0.01604357441,0,0,True
19.2,0.7,0.2,0.007086739047,0.01126791508,0,0,True
19.2,0.7,0.35,0.003801163498,0.006043849961,0,0,True
19.2,0.9,0.1,0.2058911321,0.3273669,-1,-1,True
19.2,0.9,0.2,0.1446039227,0.2299202371,6,26,True
19.2,0.9,0.35,0.07756221146,0.1233239162,1,10,True
