trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,base_spread_rate,patch_effectiveness,intra_zone_degree,cross_zone_out_degree,identity_breach_multiplier,restore_rate_fraction,no_backup_restore_penalty,service_functional_fraction,false_positive_rate,legacy_fraction,detection_delay_steps,isolated_backup_traversal,source_step_minutes,simulation_step_minutes,setting_id
920000000,92000000,1,fine_step_joint_stress,5701001,scale_2,intermediate_posture,baseline_flat,workstation,58,293,2461,flat,0.5,0.4778,103,0.5634819194,connected,0,0,864,5,293,1,1,293,10,309,-1,1,1,826,826,828,828,826,826,824,7,5784,364.9833333,0.9571078431,0.9571078431,1,168,-1,0,0,0,0,0,0,0,0,0,0,0,85,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000001,92000000,1,fine_step_joint_stress,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,58,293,1771,basic,0.5,0.4778,52,0.5634819194,isolated,0,1,864,5,284,0.9692832765,0.9692832765,284,10,294,465,1,1,514,532,507,579,674,490,524,7,3820,235.5166667,0.6131535948,0.6131535948,1,1139,724,1,1,1,1,1,1,1,1,1,1,1,84,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000002,92000001,1,fine_step_joint_stress,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,220,227,1913,flat,0.5,0.4802,103,0.5634819194,connected,0,0,864,5,227,1,1,227,10,243,-1,1,1,852,858,849,851,849,849,861,7,5969,376.5416667,0.9865876906,0.9865876906,1,120,-1,0,0,0,0,0,0,0,0,0,0,0,67,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000003,92000001,1,fine_step_joint_stress,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,220,227,1377,basic,0.5,0.4802,52,0.5634819194,isolated,0,1,864,5,223,0.9823788546,0.9823788546,223,10,230,499,1,1,550,593,566,643,743,545,654,7,4294,263.6666667,0.6753472222,0.6753472222,1,417,657,1,1,1,1,1,1,1,1,1,1,1,67,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000004,92000002,1,fine_step_joint_stress,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,199,241,1999,flat,0.5,0.4274,103,0.5634819194,connected,0,0,864,5,241,1,1,241,10,257,-1,1,1,851,851,851,851,853,851,855,7,5963,376.125,0.9849537037,0.9849537037,1,48,-1,0,0,0,0,0,0,0,0,0,0,0,68,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000005,92000002,1,fine_step_joint_stress,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,199,241,1441,basic,0.5,0.4274,52,0.5634819194,isolated,0,1,864,5,237,0.9834024896,0.9834024896,237,10,244,760,1,1,804,847,824,847,853,804,812,7,5791,364.0083333,0.9586397059,0.9586397059,1,120,-1,0,1,0,1,0,0,1,0,0.4285714286,0.4285714286,0.4285714286,68,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000006,92000003,1,fine_step_joint_stress,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,177,232,1938,flat,0.5,0.4095,103,0.5634819194,connected,0,0,864,5,232,1,1,232,10,252,-1,1,1,843,854,844,843,843,842,843,7,5912,373.0583333,0.9789964597,0.9789964597,1,96,-1,0,0,0,0,0,0,0,0,0,0,0,68,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000007,92000003,1,fine_step_joint_stress,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,177,232,1398,basic,0.5,0.4095,52,0.5634819194,isolated,0,1,864,5,229,0.9870689655,0.9870689655,229,10,236,596,1,1,629,665,651,694,803,629,644,7,4715,292.2,0.7600422113,0.7600422113,1,439,750,1,1,1,1,1,1,1,1,1,1,1,68,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000008,92000004,1,fine_step_joint_stress,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,223,224,1857,flat,0.5,0.4911,103,0.5634819194,connected,0,0,864,5,224,1,1,224,10,238,654,1,1,707,754,729,793,853,704,783,7,5323,330.5,0.8583197168,0.8583197168,1,93,805,1,1,1,1,1,0,1,1,0.8571428571,0.8571428571,0.8571428571,64,0,864,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
920000009,92000004,1,fine_step_joint_stress,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,223,224,1341,basic,0.5,0.4911,52,0.5634819194,isolated,0,1,864,5,220,0.9821428571,0.9821428571,220,10,225,310,1,1,352,396,373,436,577,352,413,7,2899,175.425,0.4458401416,0.4458401416,1,912,459,1,1,1,1,1,1,1,1,1,1,1,63,0,796,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,34.31082917,0.08205866416,15,5,fine_lhs_000
