trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated
910000023,91000011,1,fine_step_primary,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,284,295,1542,basic,0.5,0.4712,18,0.6316,isolated,0,1,864,5,173,0.586440678,0.586440678,173,9,172,220,0,1,232,216,213,222,292,208,24,7,1407,89.19166667,0.255957244,0.255957244,1,2184,272,1,1,1,1,1,1,1,1,1,1,1,0,1,588
910000024,91000012,1,fine_step_primary,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,227,264,2053,flat,0.5,0.4697,36,0.3306,connected,0,0,864,5,233,0.8825757576,0.8825757576,233,10,237,512,1,1,545,591,567,661,789,541,637,7,4331,264.625,0.6776960784,0.6776960784,1,1198,692,1,1,1,1,1,1,1,1,1,1,1,73,0,864
910000025,91000012,1,fine_step_primary,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,227,264,1358,basic,0.5,0.4697,18,0.6316,isolated,0,1,864,5,117,0.4431818182,0.4431818182,117,9,117,307,0,1,217,66,195,217,249,42,24,7,1010,62.41666667,0.203295207,0.203295207,1,3321,495,1,1,1,1,1,1,1,1,1,1,1,0,1,864
910000026,91000013,1,fine_step_primary,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,164,210,1656,flat,0.5,0.5048,36,0.3306,connected,0,0,864,5,180,0.8571428571,0.8571428571,180,10,183,291,1,1,381,406,391,452,565,357,419,7,2971,181.0666667,0.4677627996,0.4677627996,1,1632,838,1,1,1,1,1,1,1,1,1,1,1,56,0,860
910000027,91000013,1,fine_step_primary,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,164,210,1079,basic,0.5,0.5048,18,0.6316,isolated,0,1,864,5,2,0.009523809524,0.009523809524,2,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,1,1,1,1,1,1,1,1,1,1,1,0,1,167
910000028,91000014,1,fine_step_primary,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,239,240,1826,flat,0.5,0.4125,36,0.3306,connected,0,0,864,5,221,0.9208333333,0.9208333333,221,10,229,334,1,1,398,452,421,505,629,398,461,7,3264,198.2,0.5078976035,0.5078976035,1,1155,512,1,1,1,1,1,1,1,1,1,1,1,66,0,864
910000029,91000014,1,fine_step_primary,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,239,240,1221,basic,0.5,0.4125,18,0.6316,isolated,0,1,864,5,8,0.03333333333,0.03333333333,8,4,7,34,0,0,0,0,0,0,32,0,0,1,32,1.066666667,0,0,0,480,0,1,1,1,1,1,1,1,1,1,1,1,0,1,131
910000030,91000015,1,fine_step_primary,5701001,scale_2,intermediate_posture,baseline_flat,workstation,53,284,2298,flat,0.5,0.4331,36,0.3306,connected,0,0,864,5,256,0.9014084507,0.9014084507,256,10,266,363,1,1,390,452,414,525,623,390,475,7,3269,198.075,0.5077954793,0.5077954793,1,1613,831,1,1,1,1,1,1,1,1,1,1,1,80,0,864
910000031,91000015,1,fine_step_primary,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,53,284,1500,basic,0.5,0.4331,18,0.6316,isolated,0,1,864,5,94,0.3309859155,0.3309859155,94,9,93,301,0,1,214,219,214,219,283,214,0,6,1363,86.74166667,0.2502382898,0.2502382898,1,1272,319,1,1,1,1,1,1,1,1,1,1,1,0,1,361
910000032,91000016,1,fine_step_primary,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,231,234,1855,flat,0.5,0.4701,36,0.3306,connected,0,0,864,5,208,0.8888888889,0.8888888889,208,10,217,397,1,1,491,524,495,579,703,467,539,7,3798,232.1583333,0.5994689542,0.5994689542,1,853,605,1,1,1,1,1,1,1,1,1,1,1,64,0,864
910000033,91000016,1,fine_step_primary,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,231,234,1226,basic,0.5,0.4701,18,0.6316,isolated,0,1,864,5,1,0.004273504274,0.004273504274,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,1,1,1,1,1,1,1,1,1,0,1,25
910000034,91000017,1,fine_step_primary,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,178,238,1882,flat,0.5,0.5084,36,0.3306,connected,0,0,864,5,204,0.8571428571,0.8571428571,204,10,207,508,1,1,569,620,592,686,805,569,652,7,4493,275.275,0.7073801743,0.7073801743,1,731,695,1,1,1,1,1,1,1,1,1,1,1,68,0,864
910000035,91000017,1,fine_step_primary,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,178,238,1232,basic,0.5,0.5084,18,0.6316,isolated,0,1,864,5,2,0.008403361345,0.008403361345,2,1,1,33,0,0,48,24,24,24,24,24,0,6,168,11.4,0.03594771242,0.03594771242,0,1488,196,1,1,1,1,1,1,1,1,1,1,1,0,1,358
910000036,91000018,1,fine_step_primary,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,138,208,1666,flat,0.5,0.4519,36,0.3306,connected,0,0,864,5,192,0.9230769231,0.9230769231,192,10,197,240,1,1,330,408,379,440,558,330,382,7,2827,171.2416667,0.4444104031,0.4444104031,1,1648,830,1,1,1,1,1,1,1,1,1,1,1,62,0,864
910000037,91000018,1,fine_step_primary,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,138,208,1084,basic,0.5,0.4519,18,0.6316,isolated,0,1,864,5,10,0.04807692308,0.04807692308,10,4,9,188,0,1,0,0,0,24,0,0,48,2,72,3.8,0.005718954248,0.005718954248,0,672,129,1,1,1,1,1,1,1,1,1,1,1,0,1,253
910000038,91000019,1,fine_step_primary,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,247,248,1933,flat,0.5,0.4516,36,0.3306,connected,0,0,864,5,220,0.8870967742,0.8870967742,220,10,230,417,1,1,477,533,539,587,692,477,615,7,3920,239.5416667,0.6125408497,0.6125408497,1,1364,704,1,1,1,1,1,1,1,1,1,1,1,69,0,864
910000039,91000019,1,fine_step_primary,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,247,248,1261,basic,0.5,0.4516,18,0.6316,isolated,0,1,864,5,61,0.2459677419,0.2459677419,61,8,60,189,0,1,149,178,111,176,145,67,0,6,826,52.73333333,0.1751429739,0.1751429739,1,1008,216,1,1,1,1,1,1,1,1,1,1,1,0,1,281
910000040,91000020,1,fine_step_primary,5701001,scale_2,intermediate_posture,baseline_flat,workstation,44,285,2199,flat,0.5,0.4632,36,0.3306,connected,0,0,864,5,2,0.00701754386,0.00701754386,2,1,1,71,0,0,0,0,24,0,0,0,24,2,48,3,0.007352941176,0.007352941176,0,3926,716,1,1,1,1,1,1,1,1,1,1,1,0,1,864
910000041,91000020,1,fine_step_primary,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,44,285,1454,basic,0.5,0.4632,18,0.6316,isolated,0,1,864,5,1,0.00350877193,0.00350877193,1,1,0,11,0,0,0,0,24,0,0,0,24,2,48,3,0.007352941176,0.007352941176,0,3926,716,1,1,1,1,1,1,1,1,1,1,1,0,1,864
910000042,91000021,1,fine_step_primary,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,202,209,1671,flat,0.5,0.4211,36,0.3306,connected,0,0,864,5,188,0.8995215311,0.8995215311,188,10,196,253,1,1,313,374,363,428,548,313,462,7,2801,168.05,0.4216026688,0.4216026688,1,1176,862,1,1,1,1,1,1,1,1,1,1,1,63,0,864
910000043,91000021,1,fine_step_primary,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,202,209,1096,basic,0.5,0.4211,18,0.6316,isolated,0,1,864,5,88,0.4210526316,0.4210526316,88,9,87,238,0,1,172,172,188,245,201,172,0,6,1150,73.79166667,0.2213711874,0.2213711874,1,984,315,1,1,1,1,1,1,1,1,1,1,1,0,1,395
910000044,91000022,1,fine_step_primary,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,209,243,1894,flat,0.5,0.4568,36,0.3306,connected,0,0,864,5,219,0.9012345679,0.9012345679,219,10,220,321,1,1,371,454,398,482,617,371,454,7,3147,190.2416667,0.4867238562,0.4867238562,1,1226,-1,0,1,0,1,1,1,1,1,0.8571428571,0.8571428571,0.8571428571,65,0,864
910000045,91000022,1,fine_step_primary,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,209,243,1249,basic,0.5,0.4568,18,0.6316,isolated,0,1,864,5,1,0.004115226337,0.004115226337,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,1,1,1,1,1,1,1,1,1,1,0,1,62
910000046,91000023,1,fine_step_primary,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,162,220,1702,flat,0.5,0.45,36,0.3306,connected,0,0,864,5,187,0.85,0.85,187,10,191,596,1,1,644,695,665,744,829,644,717,7,4938,305.0583333,0.7895220588,0.7895220588,1,684,781,1,1,1,1,1,0,1,1,0.8571428571,0.8571428571,0.8571428571,62,0,864
910000047,91000023,1,fine_step_primary,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,162,220,1113,basic,0.5,0.45,18,0.6316,isolated,0,1,864,5,92,0.4181818182,0.4181818182,92,9,91,166,0,1,121,141,84,117,154,84,0,6,701,44.04166667,0.133203976,0.133203976,1,360,200,1,1,1,1,1,1,1,1,1,1,1,0,1,234
910000048,91000024,1,fine_step_primary,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,244,245,1971,flat,0.5,0.4735,36,0.3306,connected,0,0,864,5,220,0.8979591837,0.8979591837,220,10,229,343,1,1,444,481,447,535,650,420,518,7,3495,212.8666667,0.5465686275,0.5465686275,1,1536,780,1,1,1,1,1,1,1,1,1,1,1,72,0,864
910000049,91000024,1,fine_step_primary,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,244,245,1280,basic,0.5,0.4735,18,0.6316,isolated,0,1,864,5,51,0.2081632653,0.2081632653,51,8,50,119,0,1,149,133,125,125,141,125,0,6,798,52.025,0.1550245098,0.1550245098,1,2448,342,1,1,1,1,1,1,1,1,1,1,1,0,1,596
910000050,91000025,1,fine_step_primary,5701001,scale_2,intermediate_posture,baseline_flat,workstation,55,243,1975,flat,0.5,0.4691,36,0.3306,connected,0,0,864,5,209,0.8600823045,0.8600823045,209,10,214,279,1,1,361,391,364,445,561,337,416,7,2875,174.1833333,0.4469294662,0.4469294662,1,1477,763,1,1,1,1,1,1,1,1,1,1,1,67,0,864
910000051,91000025,1,fine_step_primary,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,55,243,1269,basic,0.5,0.4691,18,0.6316,isolated,0,1,864,5,113,0.4650205761,0.4650205761,113,9,112,187,0,1,184,184,214,197,212,184,0,6,1175,76.00833333,0.2252519063,0.2252519063,1,1368,336,1,1,1,1,1,1,1,1,1,1,1,0,1,373
910000052,91000026,1,fine_step_primary,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,272,277,2205,flat,0.5,0.4513,36,0.3306,connected,0,0,864,5,240,0.8664259928,0.8664259928,240,10,246,446,1,1,488,544,513,601,737,487,590,7,3960,241.0583333,0.6146514161,0.6146514161,1,1133,620,1,1,1,1,1,1,1,1,1,1,1,74,0,864
910000053,91000026,1,fine_step_primary,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,272,277,1452,basic,0.5,0.4513,18,0.6316,isolated,0,1,864,5,141,0.5090252708,0.5090252708,141,9,141,301,0,1,257,229,256,255,288,229,24,7,1538,98.73333333,0.2890454793,0.2890454793,1,2112,329,1,1,1,1,1,1,1,1,1,1,1,0,1,597
910000054,91000027,1,fine_step_primary,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,243,264,2047,flat,0.5,0.4508,36,0.3306,connected,0,0,864,5,238,0.9015151515,0.9015151515,238,10,239,345,1,1,410,462,460,512,635,410,505,7,3394,206.5,0.5283224401,0.5283224401,1,1233,793,1,1,1,1,1,1,1,1,1,1,1,74,0,864
910000055,91000027,1,fine_step_primary,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,243,264,1354,basic,0.5,0.4508,18,0.6316,isolated,0,1,864,5,1,0.003787878788,0.003787878788,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,1,1,1,1,1,1,1,1,1,1,1,0,1,64
910000056,91000028,1,fine_step_primary,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,148,207,1595,flat,0.5,0.4251,36,0.3306,connected,0,0,864,5,187,0.9033816425,0.9033816425,187,10,193,319,1,1,404,462,433,512,644,404,454,7,3313,201.275,0.5180078976,0.5180078976,1,1156,652,1,1,1,1,1,1,1,1,1,1,1,58,0,864
