profile,price_region,radius,draw,guaranteed,original_retained
resource_constrained,monotone,0.5,17,16,16
resource_constrained,monotone,0.75,17,14,14
resource_constrained,positive_gaps,0,17,37,33
resource_constrained,positive_gaps,0.1,17,37,33
resource_constrained,positive_gaps,0.25,17,30,28
resource_constrained,positive_gaps,0.5,17,18,17
resource_constrained,positive_gaps,0.75,17,15,14
resource_constrained,monotone,0,18,35,33
resource_constrained,monotone,0.1,18,34,32
resource_constrained,monotone,0.25,18,27,27
resource_constrained,monotone,0.5,18,13,13
resource_constrained,monotone,0.75,18,12,12
resource_constrained,positive_gaps,0,18,35,33
resource_constrained,positive_gaps,0.1,18,34,32
resource_constrained,positive_gaps,0.25,18,27,27
resource_constrained,positive_gaps,0.5,18,16,16
resource_constrained,positive_gaps,0.75,18,12,12
resource_constrained,monotone,0,19,38,34
resource_constrained,monotone,0.1,19,37,33
resource_constrained,monotone,0.25,19,30,28
resource_constrained,monotone,0.5,19,15,13
resource_constrained,monotone,0.75,19,12,10
resource_constrained,positive_gaps,0,19,38,34
resource_constrained,positive_gaps,0.1,19,37,33
resource_constrained,positive_gaps,0.25,19,32,30
resource_constrained,positive_gaps,0.5,19,16,14
resource_constrained,positive_gaps,0.75,19,12,10
resource_constrained,monotone,0,20,38,35
resource_constrained,monotone,0.1,20,37,34
resource_constrained,monotone,0.25,20,29,28
resource_constrained,monotone,0.5,20,14,14
resource_constrained,monotone,0.75,20,10,10
resource_constrained,positive_gaps,0,20,38,35
resource_constrained,positive_gaps,0.1,20,37,34
resource_constrained,positive_gaps,0.25,20,30,29
resource_constrained,positive_gaps,0.5,20,16,16
resource_constrained,positive_gaps,0.75,20,10,10
resource_constrained,monotone,0,21,40,33
resource_constrained,monotone,0.1,21,39,33
resource_constrained,monotone,0.25,21,30,27
resource_constrained,monotone,0.5,21,12,11
resource_constrained,monotone,0.75,21,11,10
resource_constrained,positive_gaps,0,21,40,33
resource_constrained,positive_gaps,0.1,21,40,33
resource_constrained,positive_gaps,0.25,21,32,29
resource_constrained,positive_gaps,0.5,21,15,13
resource_constrained,positive_gaps,0.75,21,13,11
resource_constrained,monotone,0,22,45,36
resource_constrained,monotone,0.1,22,44,35
resource_constrained,monotone,0.25,22,32,28
resource_constrained,monotone,0.5,22,15,15
resource_constrained,monotone,0.75,22,12,12
resource_constrained,positive_gaps,0,22,45,36
resource_constrained,positive_gaps,0.1,22,44,35
resource_constrained,positive_gaps,0.25,22,36,31
resource_constrained,positive_gaps,0.5,22,18,16
resource_constrained,positive_gaps,0.75,22,14,12
resource_constrained,monotone,0,23,38,33
resource_constrained,monotone,0.1,23,37,32
resource_constrained,monotone,0.25,23,26,24
resource_constrained,monotone,0.5,23,13,13
resource_constrained,monotone,0.75,23,13,13
resource_constrained,positive_gaps,0,23,38,33
resource_constrained,positive_gaps,0.1,23,37,32
resource_constrained,positive_gaps,0.25,23,27,25
resource_constrained,positive_gaps,0.5,23,15,13
