stage,profile,trials,candidates,scenarios,stage_weight,k1_probability,k2_probability,k3_probability,k4_probability,k1_minus_k4_pp,between_share
discovery,resource_constrained,8640,288,30,0.72,0.8951388889,0.8923611111,0.8875,0.8875,0.7638888889,0.007638888889
discovery,intermediate_capacity,2880,96,30,0.24,0.5618055556,0.4840277778,0.4756944444,0.4715277778,9.027777778,0.09027777778
discovery,high_capacity,480,16,30,0.04,0.1041666667,0.008333333333,0.008333333333,0.008333333333,9.583333333,0.09583333333
confirmation,resource_constrained,115200,288,400,0.72,0.8731597222,0.8454861111,0.8366145833,0.8344791667,3.868055556,0.03868055556
confirmation,intermediate_capacity,38400,96,400,0.24,0.57390625,0.4789583333,0.4575520833,0.4479166667,12.59895833,0.1259895833
confirmation,high_capacity,6400,16,400,0.04,0.16,0.0359375,0.0215625,0.0165625,14.34375,0.1434375
