profile,draw,frontier_size,added,removed,jaccard,affordable_candidates,best_affordable_mean_hours_lost
resource_constrained,90,105,41,0,0.6095238095,17,207.5997292
intermediate_capacity,90,33,11,0,0.6666666667,44,24.33625
high_capacity,90,9,0,0,1,14,13.11922917
resource_constrained,91,62,2,4,0.9090909091,16,156.9935625
intermediate_capacity,91,20,0,2,0.9090909091,43,25.49491667
high_capacity,91,9,0,0,1,16,13.06720833
resource_constrained,92,84,22,2,0.7209302326,13,207.5997292
intermediate_capacity,92,28,6,0,0.7857142857,42,24.93072917
high_capacity,92,9,0,0,1,14,13.11922917
resource_constrained,93,80,22,6,0.6744186047,20,156.9935625
intermediate_capacity,93,31,11,2,0.6060606061,64,24.33625
high_capacity,93,12,3,0,0.75,16,13.06720833
resource_constrained,94,54,1,11,0.8153846154,18,156.9935625
intermediate_capacity,94,17,0,5,0.7727272727,48,24.5055625
high_capacity,94,6,0,3,0.6666666667,16,13.06720833
resource_constrained,95,91,28,1,0.6847826087,22,200.584375
intermediate_capacity,95,34,12,0,0.6470588235,48,27.79154167
high_capacity,95,12,3,0,0.75,16,13.06720833
resource_constrained,96,95,35,4,0.6060606061,16,207.6623542
intermediate_capacity,96,31,12,3,0.5588235294,45,34.79958333
high_capacity,96,13,4,0,0.6923076923,16,13.06720833
resource_constrained,97,73,18,9,0.6707317073,28,156.9935625
intermediate_capacity,97,25,5,2,0.7407407407,67,21.58458333
high_capacity,97,9,0,0,1,16,13.06720833
resource_constrained,98,82,21,3,0.7176470588,16,156.9935625
intermediate_capacity,98,35,13,0,0.6285714286,46,24.93072917
high_capacity,98,12,3,0,0.75,15,13.08197917
resource_constrained,99,98,38,4,0.5882352941,18,207.6623542
intermediate_capacity,99,36,14,0,0.6111111111,66,24.10502083
high_capacity,99,10,1,0,0.9,16,13.06720833
resource_constrained,100,68,11,7,0.76,20,156.9935625
intermediate_capacity,100,23,4,3,0.7307692308,58,21.58458333
high_capacity,100,8,0,1,0.8888888889,16,13.06720833
resource_constrained,101,96,32,0,0.6666666667,20,207.5997292
intermediate_capacity,101,31,9,0,0.7096774194,62,24.93072917
high_capacity,101,11,3,1,0.6666666667,16,13.06720833
resource_constrained,102,108,44,0,0.5925925926,22,205.5636667
intermediate_capacity,102,39,17,0,0.5641025641,47,27.79154167
high_capacity,102,13,4,0,0.6923076923,16,13.06720833
resource_constrained,103,78,17,3,0.7530864198,19,207.5997292
intermediate_capacity,103,32,10,0,0.6875,54,24.93072917
high_capacity,103,9,1,1,0.8,16,13.06720833
resource_constrained,104,81,21,4,0.7058823529,15,205.5636667
intermediate_capacity,104,26,4,0,0.8461538462,54,24.93072917
high_capacity,104,9,0,0,1,16,13.06720833
resource_constrained,105,96,33,1,0.6494845361,19,207.5997292
intermediate_capacity,105,37,15,0,0.5945945946,52,24.33625
high_capacity,105,12,3,0,0.75,16,13.06720833
resource_constrained,106,85,21,0,0.7529411765,14,207.5997292
intermediate_capacity,106,30,8,0,0.7333333333,32,27.79154167
high_capacity,106,9,0,0,1,14,13.11922917
resource_constrained,107,87,23,0,0.7356321839,28,156.9935625
intermediate_capacity,107,30,8,0,0.7333333333,46,24.33625
high_capacity,107,10,1,0,0.9,15,13.08197917
resource_constrained,108,88,25,1,0.7078651685,26,156.9935625
intermediate_capacity,108,27,8,3,0.6333333333,54,21.05622917
