profile,dimensions,objectives,frontier_size,added_vs_six,removed_vs_six
resource_constrained,5,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,64,0,0
resource_constrained,6,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,64,0,0
intermediate_capacity,1,mean_hours_lost,1,0,21
intermediate_capacity,1,tail_hours_lost_cvar90,1,0,21
intermediate_capacity,1,sustained_outage_probability,2,0,20
intermediate_capacity,1,nonrecovery_probability,47,29,4
intermediate_capacity,1,implementation_cost_points,1,0,21
intermediate_capacity,1,operational_burden_points,1,0,21
intermediate_capacity,2,mean_hours_lost|tail_hours_lost_cvar90,1,0,21
intermediate_capacity,2,mean_hours_lost|sustained_outage_probability,1,0,21
intermediate_capacity,2,mean_hours_lost|nonrecovery_probability,1,0,21
intermediate_capacity,2,mean_hours_lost|implementation_cost_points,18,0,4
intermediate_capacity,2,mean_hours_lost|operational_burden_points,14,0,8
intermediate_capacity,2,tail_hours_lost_cvar90|sustained_outage_probability,1,0,21
intermediate_capacity,2,tail_hours_lost_cvar90|nonrecovery_probability,1,0,21
intermediate_capacity,2,tail_hours_lost_cvar90|implementation_cost_points,18,0,4
intermediate_capacity,2,tail_hours_lost_cvar90|operational_burden_points,14,0,8
intermediate_capacity,2,sustained_outage_probability|nonrecovery_probability,2,0,20
intermediate_capacity,2,sustained_outage_probability|implementation_cost_points,11,0,11
intermediate_capacity,2,sustained_outage_probability|operational_burden_points,7,0,15
intermediate_capacity,2,nonrecovery_probability|implementation_cost_points,3,0,19
intermediate_capacity,2,nonrecovery_probability|operational_burden_points,3,0,19
intermediate_capacity,2,implementation_cost_points|operational_burden_points,1,0,21
intermediate_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability,1,0,21
intermediate_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability,1,0,21
intermediate_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|implementation_cost_points,18,0,4
intermediate_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|operational_burden_points,14,0,8
intermediate_capacity,3,mean_hours_lost|sustained_outage_probability|nonrecovery_probability,1,0,21
intermediate_capacity,3,mean_hours_lost|sustained_outage_probability|implementation_cost_points,22,0,0
intermediate_capacity,3,mean_hours_lost|sustained_outage_probability|operational_burden_points,14,0,8
intermediate_capacity,3,mean_hours_lost|nonrecovery_probability|implementation_cost_points,18,0,4
intermediate_capacity,3,mean_hours_lost|nonrecovery_probability|operational_burden_points,14,0,8
intermediate_capacity,3,mean_hours_lost|implementation_cost_points|operational_burden_points,21,0,1
intermediate_capacity,3,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability,1,0,21
intermediate_capacity,3,tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points,22,0,0
intermediate_capacity,3,tail_hours_lost_cvar90|sustained_outage_probability|operational_burden_points,14,0,8
intermediate_capacity,3,tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points,18,0,4
intermediate_capacity,3,tail_hours_lost_cvar90|nonrecovery_probability|operational_burden_points,14,0,8
intermediate_capacity,3,tail_hours_lost_cvar90|implementation_cost_points|operational_burden_points,21,0,1
intermediate_capacity,3,sustained_outage_probability|nonrecovery_probability|implementation_cost_points,12,0,10
intermediate_capacity,3,sustained_outage_probability|nonrecovery_probability|operational_burden_points,8,0,14
intermediate_capacity,3,sustained_outage_probability|implementation_cost_points|operational_burden_points,11,0,11
intermediate_capacity,3,nonrecovery_probability|implementation_cost_points|operational_burden_points,3,0,19
intermediate_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability,1,0,21
intermediate_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points,22,0,0
intermediate_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|operational_burden_points,14,0,8
intermediate_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points,18,0,4
intermediate_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability|operational_burden_points,14,0,8
intermediate_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|implementation_cost_points|operational_burden_points,21,0,1
intermediate_capacity,4,mean_hours_lost|sustained_outage_probability|nonrecovery_probability|implementation_cost_points,22,0,0
intermediate_capacity,4,mean_hours_lost|sustained_outage_probability|nonrecovery_probability|operational_burden_points,14,0,8
intermediate_capacity,4,mean_hours_lost|sustained_outage_probability|implementation_cost_points|operational_burden_points,22,0,0
intermediate_capacity,4,mean_hours_lost|nonrecovery_probability|implementation_cost_points|operational_burden_points,21,0,1
intermediate_capacity,4,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points,22,0,0
intermediate_capacity,4,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|operational_burden_points,14,0,8
intermediate_capacity,4,tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points|operational_burden_points,22,0,0
intermediate_capacity,4,tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points|operational_burden_points,21,0,1
intermediate_capacity,4,sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,12,0,10
intermediate_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points,22,0,0
intermediate_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|operational_burden_points,14,0,8
intermediate_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points|operational_burden_points,22,0,0
intermediate_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points|operational_burden_points,21,0,1
intermediate_capacity,5,mean_hours_lost|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,22,0,0
intermediate_capacity,5,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,22,0,0
intermediate_capacity,6,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,22,0,0
high_capacity,1,mean_hours_lost,1,0,8
high_capacity,1,tail_hours_lost_cvar90,2,0,7
high_capacity,1,sustained_outage_probability,4,0,5
high_capacity,1,nonrecovery_probability,8,1,2
high_capacity,1,implementation_cost_points,1,0,8
high_capacity,1,operational_burden_points,1,0,8
high_capacity,2,mean_hours_lost|tail_hours_lost_cvar90,1,0,8
high_capacity,2,mean_hours_lost|sustained_outage_probability,1,0,8
high_capacity,2,mean_hours_lost|nonrecovery_probability,1,0,8
high_capacity,2,mean_hours_lost|implementation_cost_points,9,0,0
high_capacity,2,mean_hours_lost|operational_burden_points,5,0,4
high_capacity,2,tail_hours_lost_cvar90|sustained_outage_probability,2,0,7
high_capacity,2,tail_hours_lost_cvar90|nonrecovery_probability,2,0,7
high_capacity,2,tail_hours_lost_cvar90|implementation_cost_points,6,0,3
high_capacity,2,tail_hours_lost_cvar90|operational_burden_points,4,0,5
high_capacity,2,sustained_outage_probability|nonrecovery_probability,4,0,5
high_capacity,2,sustained_outage_probability|implementation_cost_points,4,0,5
high_capacity,2,sustained_outage_probability|operational_burden_points,3,0,6
high_capacity,2,nonrecovery_probability|implementation_cost_points,2,0,7
high_capacity,2,nonrecovery_probability|operational_burden_points,2,0,7
high_capacity,2,implementation_cost_points|operational_burden_points,1,0,8
high_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability,1,0,8
high_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability,1,0,8
