portfolio,attacker,trial,weighted_service_hours_lost,catastrophic,identity_compromised,total_compromised
baseline_flat,naive,56,232.275,1,1,233
baseline_flat,adaptive,56,250.275,1,1,270
baseline_flat,naive,57,229.79999999999998,1,1,251
baseline_flat,adaptive,57,213.07500000000002,1,1,275
baseline_flat,naive,58,190.675,1,1,209
baseline_flat,adaptive,58,164.775,1,1,231
baseline_flat,naive,59,177.64999999999998,1,1,187
baseline_flat,adaptive,59,169.6,1,1,211
least_privilege,naive,0,142.45000000000002,1,1,129
least_privilege,adaptive,0,141.85000000000002,1,1,200
least_privilege,naive,1,83.17500000000001,1,1,52
least_privilege,adaptive,1,213.975,1,1,260
least_privilege,naive,2,162.17499999999998,1,1,148
least_privilege,adaptive,2,123.15,1,1,215
least_privilege,naive,3,99.77499999999999,1,1,66
least_privilege,adaptive,3,155.67499999999998,1,1,196
least_privilege,naive,4,41.2,1,1,34
least_privilege,adaptive,4,193.4,1,1,216
least_privilege,naive,5,149.8,1,1,119
least_privilege,adaptive,5,183.39999999999998,1,1,199
least_privilege,naive,6,25.6,1,0,16
least_privilege,adaptive,6,169.32500000000002,1,1,206
least_privilege,naive,7,0.0,0,0,4
least_privilege,adaptive,7,135.125,1,1,225
least_privilege,naive,8,112.75,1,1,64
least_privilege,adaptive,8,197.625,1,1,215
least_privilege,naive,9,9.05,1,1,27
least_privilege,adaptive,9,140.64999999999998,1,1,177
least_privilege,naive,10,141.775,1,1,100
least_privilege,adaptive,10,191.10000000000002,1,1,205
least_privilege,naive,11,12.200000000000001,0,0,3
least_privilege,adaptive,11,162.225,1,1,215
least_privilege,naive,12,13.825000000000003,1,0,15
least_privilege,adaptive,12,178.25,1,1,257
least_privilege,naive,13,1.6,0,0,1
least_privilege,adaptive,13,1.6,0,0,1
least_privilege,naive,14,0.0,0,0,2
least_privilege,adaptive,14,165.025,1,1,163
least_privilege,naive,15,154.05,1,1,103
least_privilege,adaptive,15,227.35000000000002,1,1,250
least_privilege,naive,16,11.6,1,0,2
least_privilege,adaptive,16,152.95,1,1,212
least_privilege,naive,17,88.45000000000002,1,1,110
least_privilege,adaptive,17,179.8,1,1,219
least_privilege,naive,18,109.25,1,1,57
least_privilege,adaptive,18,194.09999999999997,1,1,196
least_privilege,naive,19,70.025,1,1,41
least_privilege,adaptive,19,204.95,1,1,171
least_privilege,naive,20,109.125,1,1,132
least_privilege,adaptive,20,120.30000000000001,1,1,227
least_privilege,naive,21,1.6,0,0,7
least_privilege,adaptive,21,159.25,1,1,240
least_privilege,naive,22,126.025,1,1,112
least_privilege,adaptive,22,177.10000000000002,1,1,167
least_privilege,naive,23,155.37499999999997,1,1,60
least_privilege,adaptive,23,181.84999999999997,1,1,265
least_privilege,naive,24,100.65,1,1,39
least_privilege,adaptive,24,124.275,1,1,170
least_privilege,naive,25,198.8,1,1,173
least_privilege,adaptive,25,244.35,1,1,254
least_privilege,naive,26,110.525,1,1,51
least_privilege,adaptive,26,199.3,1,1,233
least_privilege,naive,27,116.82499999999999,1,1,138
