profile,objective,parameter,first_order_effect,rank_stability_spearman,scenarios
intermediate_capacity,sustained_outage_probability,simulation_patch_effectiveness,0.06862925412185693,0.9542899219153438,400
intermediate_capacity,sustained_outage_probability,simulation_patch_effectiveness_vendor,0.02759152734758267,0.9787118496795917,400
intermediate_capacity,sustained_outage_probability,simulation_rapid_isolation_success,0.022178572115662088,0.9964975189854132,400
intermediate_capacity,sustained_outage_probability,simulation_restore_rate_fraction,0.012416937609419202,0.994515353951982,400
resource_constrained,mean_hours_lost,network_backup_isolation_lapse,0.015559526212527375,0.9957450699074466,400
resource_constrained,mean_hours_lost,simulation_base_spread_rate,0.06466122789494634,0.9283775203051092,400
resource_constrained,mean_hours_lost,simulation_false_positive_rate,0.004727045556673725,0.9931574494934273,400
resource_constrained,mean_hours_lost,simulation_identity_breach_multiplier,0.017352530788973863,0.9934754389560704,400
resource_constrained,mean_hours_lost,simulation_identity_control_coverage,0.013740714881919339,0.9905562655478262,400
resource_constrained,mean_hours_lost,simulation_identity_control_effectiveness,0.01481818524360371,0.9874029956315382,400
resource_constrained,mean_hours_lost,simulation_patch_effectiveness,0.04399412664906358,0.9392469326324504,400
resource_constrained,mean_hours_lost,simulation_patch_effectiveness_vendor,0.033188267944010266,0.9938004613610151,400
resource_constrained,mean_hours_lost,simulation_rapid_isolation_success,0.007986280397519339,0.9909792467919738,400
resource_constrained,mean_hours_lost,simulation_restore_rate_fraction,0.040641704771559886,0.9897203501199621,400
resource_constrained,nonrecovery_probability,network_backup_isolation_lapse,0.021661945792951966,0.960333104768893,400
resource_constrained,nonrecovery_probability,simulation_base_spread_rate,0.01793866549558076,0.8952390958489047,400
resource_constrained,nonrecovery_probability,simulation_false_positive_rate,0.018532200513731167,0.8873457575074866,400
resource_constrained,nonrecovery_probability,simulation_identity_breach_multiplier,0.016515105286310176,0.9257031235994487,400
resource_constrained,nonrecovery_probability,simulation_identity_control_coverage,0.0187620042934575,0.9411677600979803,400
resource_constrained,nonrecovery_probability,simulation_identity_control_effectiveness,0.01478137626807338,0.9445785657087533,400
resource_constrained,nonrecovery_probability,simulation_patch_effectiveness,0.02240938190931851,0.9237885920116985,400
resource_constrained,nonrecovery_probability,simulation_patch_effectiveness_vendor,0.022532431504381317,0.937810925175495,400
resource_constrained,nonrecovery_probability,simulation_rapid_isolation_success,0.012054553901106775,0.9153483944511025,400
resource_constrained,nonrecovery_probability,simulation_restore_rate_fraction,0.08087761381294292,0.8146171446775758,400
resource_constrained,sustained_outage_probability,network_backup_isolation_lapse,0.015851697507697948,0.9769073072330774,400
resource_constrained,sustained_outage_probability,simulation_base_spread_rate,0.0936897461468774,0.9524100257177458,400
resource_constrained,sustained_outage_probability,simulation_false_positive_rate,0.007067705872050239,0.9263890505833584,400
resource_constrained,sustained_outage_probability,simulation_identity_breach_multiplier,0.016445834874723102,0.9649575512460821,400
resource_constrained,sustained_outage_probability,simulation_identity_control_coverage,0.017523868192289377,0.9311848205740674,400
resource_constrained,sustained_outage_probability,simulation_identity_control_effectiveness,0.013963764655328146,0.9565646217180164,400
resource_constrained,sustained_outage_probability,simulation_patch_effectiveness,0.029010801640962477,0.8998416583275106,400
resource_constrained,sustained_outage_probability,simulation_patch_effectiveness_vendor,0.02716420700572262,0.9607374778032128,400
resource_constrained,sustained_outage_probability,simulation_rapid_isolation_success,0.009471561148599691,0.9601873012791949,400
resource_constrained,sustained_outage_probability,simulation_restore_rate_fraction,0.004806396171810837,0.9114682825084474,400
