facility,profile,n,h_gated,h_naive,h_mvr,h_riar,riar_minus_naive,rn_lo,rn_hi,riar_minus_mvr,rm_lo,rm_hi,reinf_naive,reinf_riar,riar_beats_naive_sig
large_hospital,high_capacity,80,30.4709375,25.14625,25.367812500000003,9.246875,-15.899374999999997,-22.729492187499996,-9.765679687500004,-16.1209375,-22.6178828125,-10.174320312499999,109.9875,11.5375,True
large_hospital,intermediate_capacity,80,67.03656249999999,87.84625000000001,85.76375,25.621875,-62.224374999999995,-76.020859375,-48.5854140625,-60.141875000000006,-73.6019765625,-47.08300000000002,364.9875,43.4375,True
large_hospital,resource_constrained,80,85.7859375,171.7121875,171.40625,48.000625,-123.71156250000001,-139.3115390625,-107.05353125000003,-123.40562500000001,-138.907703125,-106.48147656250002,593.9375,52.7125,True
regional_hospital,high_capacity,80,23.214375,15.963125000000002,13.895937499999999,5.511875000000001,-10.45125,-14.656734375000001,-6.662554687500003,-8.384062499999999,-11.69978125,-5.3458828125,21.075,1.2,True
regional_hospital,intermediate_capacity,80,58.209375,51.4625,52.1075,24.7384375,-26.724062500000002,-33.49403125,-20.75215625,-27.369062500000002,-33.7116875,-21.714195312500003,39.3875,11.1375,True
regional_hospital,resource_constrained,80,81.2590625,78.6428125,79.2928125,47.559375,-31.083437499999995,-39.5077890625,-23.601265625000003,-31.7334375,-39.11164843750001,-24.88612500000001,53.3125,15.325,True
small_clinic,high_capacity,80,10.5265625,8.1815625,6.640625,4.0403125,-4.14125,-7.021726562499999,-1.7480859375000004,-2.6003125000000002,-4.5195703125,-1.0412500000000002,1.55,0.1875,True
small_clinic,intermediate_capacity,80,31.377812500000005,29.826250000000005,23.699375,11.524375000000001,-18.301875000000003,-23.653695312500002,-13.235648437500005,-12.175,-16.153757812500004,-8.359046875,6.025,0.9,True
small_clinic,resource_constrained,80,70.784375,64.98406250000001,53.92,36.00750000000001,-28.9765625,-34.278828125000004,-23.699000000000005,-17.9125,-22.3910703125,-13.433164062500007,7.85,2.4125,True
