trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
18,main,20260713,small_clinic,resource_constrained,patch_90,workstation,4,40,258,flat,0.9,0.875,24,0.5,connected,0,0,38,0.95,38,10,37,104,1,1,131,123,119,132,164,115,157,7,941,173.05,0.6570159314,1,64,185,1,0.8571428571,11,0,192,6
19,main,20260713,small_clinic,resource_constrained,patch_90,workstation,2,41,274,flat,0.9,0.6585,24,0.5,connected,0,0,40,0.9756097561,40,10,39,176,1,1,181,185,181,181,181,181,190,7,1280,241.975,0.9476102941,1,16,-1,0,0,12,0,192,6
20,main,20260713,small_clinic,resource_constrained,patch_90,internet_facing,55,57,379,flat,0.9,0.6842,24,0.5,connected,0,0,56,0.9824561404,56,10,59,113,1,1,155,169,162,179,191,155,175,7,1186,220.55,0.8598345588,1,0,181,1,0.8571428571,16,0,192,6
21,main,20260713,small_clinic,resource_constrained,patch_90,internet_facing,57,59,400,flat,0.9,0.7966,24,0.5,connected,0,0,53,0.8983050847,53,10,54,127,1,1,160,170,164,186,187,160,178,7,1205,224.85,0.8789828431,1,24,190,1,0.8571428571,16,0,192,6
22,main,20260713,small_clinic,resource_constrained,patch_90,vendor_connection,41,42,294,flat,0.9,0.7857,24,0.5,connected,0,0,39,0.9285714286,39,10,39,143,1,1,176,180,187,192,180,176,190,7,1281,241.775,0.9538909314,1,41,-1,0,0,13,0,192,6
23,main,20260713,small_clinic,resource_constrained,patch_90,vendor_connection,56,57,370,flat,0.9,0.7368,24,0.5,connected,0,0,55,0.9649122807,55,10,57,135,1,1,167,177,170,181,185,167,183,7,1230,230.6,0.9011948529,1,48,-1,0,0.5714285714,17,0,192,6
24,main,20260713,small_clinic,resource_constrained,fast_detection,workstation,9,43,286,flat,0.25,0.2791,12,0.95,connected,0,1,40,0.9302325581,40,10,40,161,1,1,189,189,186,186,186,186,185,7,1307,247.65,0.9770220588,1,8,-1,0,0,11,0,192,8
25,main,20260713,small_clinic,resource_constrained,fast_detection,workstation,21,56,369,flat,0.25,0.125,12,0.95,connected,0,1,54,0.9642857143,54,10,60,87,1,1,120,132,124,144,183,120,137,7,960,175.35,0.6709558824,1,66,153,1,1,16,0,192,8
26,main,20260713,small_clinic,resource_constrained,fast_detection,internet_facing,48,50,327,flat,0.25,0.24,12,0.95,connected,0,1,50,1,50,10,54,83,1,1,125,141,137,145,190,125,140,7,1003,183.775,0.7086397059,1,32,179,1,1,14,0,192,8
27,main,20260713,small_clinic,resource_constrained,fast_detection,internet_facing,53,55,365,flat,0.25,0.2545,12,0.95,connected,0,1,2,0.03636363636,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,8
