portfolio,k,closed_form,lp_oracle,lp_abs_error,union_bound,markov_bound
empty,1,0.449062963,0.449062963,0,0.449062963,0.449062963
empty,2,0.2245314815,0.2245314815,1.665334537e-16,0.449062963,0.2245314815
empty,3,0.1496876543,0.1496876543,0,0.449062963,0.1496876543
empty,4,0.09885033777,0.09885033777,0,0.449062963,0.1122657408
hospital_core,1,0.1377753928,0.1377753928,5.551115123e-17,0.1377753928,0.1377753928
hospital_core,2,0.06888769641,0.06888769641,1.387778781e-16,0.1377753928,0.06888769641
hospital_core,3,0.04592513094,0.04592513094,2.081668171e-17,0.1377753928,0.04592513094
hospital_core,4,0.03032791666,0.03032791666,0,0.1377753928,0.03444384821
