profile,method,portfolio,baseline,mean_benefit,margin,lower_benefit,family_size,alpha
resource_constrained,hoeffding,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,16.0070625,106.3153705,-90.30830798,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det0|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,15.59977083,106.3153705,-90.71559965,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det0|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,19.99125,106.3153705,-86.32412048,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,60.747375,106.3153705,-45.56799548,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,64.7043125,106.3153705,-41.61105798,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,17.12964583,106.3153705,-89.18572465,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,21.4664375,106.3153705,-84.84893298,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso0|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,122.9395833,106.3153705,16.62421286,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso0|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,128.0576875,106.3153705,21.74231702,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,166.1487917,106.3153705,59.83342119,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,170.0185625,106.3153705,63.70319202,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso0|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,126.2190625,106.3153705,19.90369202,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,131.1440208,106.3153705,24.82865036,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,128.9914792,106.3153705,22.67610869,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,135.4365625,106.3153705,29.12119202,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,170.9188542,106.3153705,64.60348369,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,175.7516458,106.3153705,69.43627536,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,132.3446667,106.3153705,26.02929619,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+1|det1|iso1|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,138.4001667,106.3153705,32.08479619,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso0|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,23.18689583,106.3153705,-83.12847464,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso0|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,28.2519375,106.3153705,-78.06343298,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso0|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,64.92214583,106.3153705,-41.39322464,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso0|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,69.31177083,106.3153705,-37.00359964,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso0|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,25.54939583,106.3153705,-80.76597464,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,30.67152083,106.3153705,-75.64384965,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,26.595125,106.3153705,-79.72024548,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,32.40770833,106.3153705,-73.90766215,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,67.46964583,106.3153705,-38.84572465,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,72.69572916,106.3153705,-33.61964131,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,29.12810416,106.3153705,-77.18726631,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det0|iso1|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,34.82983333,106.3153705,-71.48553715,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso0|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,133.5481667,106.3153705,27.23279619,276048,0.05
