profile,parameter,side,scenarios,frontier,jaccard,removed,added,original_frontier,endpoint_guaranteed,original_endpoint_retained,joint_guaranteed,original_joint_retained,matched_jaccard_q025,matched_jaccard_median,matched_jaccard_q975,matched_fraction_at_most_regime_jaccard
intermediate_capacity,simulation_restore_rate_fraction,low,130,23,0.9565217391,0,1,22,22,21,6,6,0.7776515152,0.9130434783,1,0.805
intermediate_capacity,simulation_restore_rate_fraction,high,130,22,1,0,0,22,21,21,8,8,0.7776515152,0.9130434783,1,1
high_capacity,network_backup_isolation_lapse,low,130,8,0.5454545455,3,2,9,8,6,5,4,0.4444444444,0.6666666667,1,0.168
high_capacity,network_backup_isolation_lapse,high,130,7,0.7777777778,2,0,9,7,7,4,4,0.4444444444,0.6666666667,1,0.808
high_capacity,simulation_base_spread_rate,low,130,7,0.6,3,1,9,7,6,5,5,0.4444444444,0.6666666667,1,0.324
high_capacity,simulation_base_spread_rate,high,130,7,0.7777777778,2,0,9,7,7,3,3,0.4444444444,0.6666666667,1,0.808
high_capacity,simulation_false_positive_rate,low,130,8,0.8888888889,1,0,9,8,8,5,5,0.4444444444,0.6666666667,1,0.843
high_capacity,simulation_false_positive_rate,high,130,8,0.5454545455,3,2,9,8,6,3,3,0.4444444444,0.6666666667,1,0.168
high_capacity,simulation_identity_breach_multiplier,low,130,7,0.7777777778,2,0,9,7,7,5,5,0.4444444444,0.6666666667,1,0.808
high_capacity,simulation_identity_breach_multiplier,high,130,6,0.6666666667,3,0,9,6,6,4,4,0.4444444444,0.6666666667,1,0.596
high_capacity,simulation_identity_control_coverage,low,130,8,0.7,2,1,9,8,7,6,6,0.4444444444,0.6666666667,1,0.682
high_capacity,simulation_identity_control_coverage,high,130,9,1,0,0,9,9,9,5,5,0.4444444444,0.6666666667,1,1
high_capacity,simulation_identity_control_effectiveness,low,130,9,1,0,0,9,9,9,5,5,0.4444444444,0.6666666667,1,1
high_capacity,simulation_identity_control_effectiveness,high,130,8,0.7,2,1,9,8,7,5,5,0.4444444444,0.6666666667,1,0.682
high_capacity,simulation_patch_effectiveness,low,130,6,0.6666666667,3,0,9,6,6,5,5,0.4444444444,0.6666666667,1,0.596
high_capacity,simulation_patch_effectiveness,high,130,10,0.9,0,1,9,10,9,7,6,0.4444444444,0.6666666667,1,0.89
high_capacity,simulation_patch_effectiveness_vendor,low,130,9,1,0,0,9,9,9,5,5,0.4444444444,0.6666666667,1,1
high_capacity,simulation_patch_effectiveness_vendor,high,130,11,0.4285714286,3,5,9,11,6,8,5,0.4444444444,0.6666666667,1,0.017
high_capacity,simulation_rapid_isolation_success,low,130,8,0.5454545455,3,2,9,8,6,5,4,0.4444444444,0.6666666667,1,0.168
high_capacity,simulation_rapid_isolation_success,high,130,6,0.6666666667,3,0,9,6,6,4,4,0.4444444444,0.6666666667,1,0.596
high_capacity,simulation_restore_rate_fraction,low,130,9,0.5,3,3,9,9,6,7,5,0.4444444444,0.6666666667,1,0.115
high_capacity,simulation_restore_rate_fraction,high,130,11,0.8181818182,0,2,9,11,9,6,5,0.4444444444,0.6666666667,1,0.832
