facility,profile,n,h_gated,h_naive,h_mvr,h_riar,riar_minus_naive,rn_lo,rn_hi,riar_minus_mvr,rm_lo,rm_hi,reinf_naive,reinf_riar,riar_beats_naive_sig
large_hospital,high_capacity,120,90.53229166666667,104.56354166666667,106.25000000000001,26.772291666666668,-77.79125,-88.68021354166666,-66.36997916666668,-79.47770833333334,-90.52186458333334,-67.89155729166667,498.3,80.58333333333333,True
large_hospital,intermediate_capacity,120,128.42083333333332,185.49708333333334,185.34,57.35104166666667,-128.1460416666667,-138.97985416666666,-116.48548958333335,-127.98895833333333,-138.76251562500002,-116.488984375,708.9833333333333,147.46666666666667,True
large_hospital,resource_constrained,120,135.546875,219.8235416666667,219.82416666666668,77.70750000000001,-142.11604166666666,-150.52929166666667,-132.83976041666668,-142.11666666666667,-150.51903645833335,-132.84507291666668,772.8666666666667,230.95,True
regional_hospital,high_capacity,120,83.705,85.55125000000001,90.89,26.260416666666668,-59.29083333333333,-69.43529166666667,-49.31539583333333,-64.62958333333333,-74.95170833333333,-54.0386354166667,100.88333333333334,19.983333333333334,True
regional_hospital,intermediate_capacity,120,104.59020833333334,139.55895833333332,135.2675,48.03520833333334,-91.52375,-103.30513020833332,-79.81084375,-87.23229166666667,-98.73777083333333,-75.70958854166668,138.925,27.075,True
regional_hospital,resource_constrained,120,130.45604166666666,209.83333333333334,210.259375,76.11916666666666,-133.71416666666667,-142.89404687500002,-124.03459895833335,-134.14020833333333,-143.02017708333332,-124.87373437500001,202.06666666666666,43.90833333333333,True
small_clinic,high_capacity,120,41.69479166666667,42.491875,35.330000000000005,15.034583333333334,-27.457291666666666,-34.026552083333335,-21.029468750000017,-20.295416666666664,-25.728947916666673,-15.108692708333344,11.716666666666667,1.65,True
small_clinic,intermediate_capacity,120,82.303125,79.09979166666668,66.25895833333333,39.87979166666666,-39.22000000000001,-45.493187500000005,-33.17265625000001,-26.379166666666666,-32.58953645833333,-20.622828124999998,13.283333333333333,4.733333333333333,True
small_clinic,resource_constrained,120,118.91395833333334,108.15645833333335,90.58500000000001,63.23979166666667,-44.916666666666664,-50.69890104166667,-39.360796875,-27.345208333333336,-32.61819270833333,-22.32630729166667,12.725,6.308333333333334,True
