facility,profile,trial,policy,weighted_service_hours_lost,pct_services_restored,reinfections
small_clinic,resource_constrained,23,gated,102.525,1.0,0
small_clinic,resource_constrained,23,naive,121.3,1.0,15
small_clinic,resource_constrained,23,mvr,79.75,0.14285714285714285,9
small_clinic,resource_constrained,23,riar,71.0,0.8571428571428571,9
small_clinic,resource_constrained,24,gated,132.375,0.8571428571428571,0
small_clinic,resource_constrained,24,naive,99.72500000000001,1.0,7
small_clinic,resource_constrained,24,mvr,73.425,1.0,5
small_clinic,resource_constrained,24,riar,43.425000000000004,1.0,1
small_clinic,resource_constrained,25,gated,0.0,1.0,0
small_clinic,resource_constrained,25,naive,0.0,1.0,0
small_clinic,resource_constrained,25,mvr,0.0,1.0,0
small_clinic,resource_constrained,25,riar,0.0,1.0,0
small_clinic,resource_constrained,26,gated,117.3,1.0,0
small_clinic,resource_constrained,26,naive,97.67500000000001,1.0,12
small_clinic,resource_constrained,26,mvr,84.275,1.0,12
small_clinic,resource_constrained,26,riar,59.425,1.0,9
small_clinic,resource_constrained,27,gated,114.60000000000001,1.0,0
small_clinic,resource_constrained,27,naive,89.97500000000001,1.0,5
small_clinic,resource_constrained,27,mvr,70.275,1.0,5
small_clinic,resource_constrained,27,riar,70.275,1.0,4
small_clinic,resource_constrained,28,gated,98.5,1.0,0
small_clinic,resource_constrained,28,naive,112.82499999999999,1.0,15
small_clinic,resource_constrained,28,mvr,90.325,1.0,15
small_clinic,resource_constrained,28,riar,56.975,1.0,7
small_clinic,resource_constrained,29,gated,108.87500000000001,1.0,0
small_clinic,resource_constrained,29,naive,106.60000000000001,1.0,9
small_clinic,resource_constrained,29,mvr,93.75,1.0,9
small_clinic,resource_constrained,29,riar,52.975,1.0,4
small_clinic,resource_constrained,30,gated,116.50000000000001,0.8571428571428571,0
small_clinic,resource_constrained,30,naive,125.925,0.8571428571428571,13
small_clinic,resource_constrained,30,mvr,102.075,0.8571428571428571,10
small_clinic,resource_constrained,30,riar,75.17500000000001,1.0,6
small_clinic,resource_constrained,31,gated,104.975,1.0,0
small_clinic,resource_constrained,31,naive,86.95,1.0,6
small_clinic,resource_constrained,31,mvr,78.64999999999999,1.0,7
small_clinic,resource_constrained,31,riar,58.150000000000006,1.0,2
small_clinic,resource_constrained,32,gated,151.275,1.0,0
small_clinic,resource_constrained,32,naive,197.45,0.8571428571428571,33
small_clinic,resource_constrained,32,mvr,120.85000000000001,1.0,22
small_clinic,resource_constrained,32,riar,77.175,1.0,12
small_clinic,resource_constrained,33,gated,120.95,0.14285714285714285,0
small_clinic,resource_constrained,33,naive,117.4,1.0,18
small_clinic,resource_constrained,33,mvr,101.1,1.0,18
small_clinic,resource_constrained,33,riar,104.39999999999999,1.0,17
small_clinic,resource_constrained,34,gated,127.02499999999999,1.0,0
small_clinic,resource_constrained,34,naive,128.22500000000002,0.14285714285714285,13
small_clinic,resource_constrained,34,mvr,128.40000000000003,1.0,17
small_clinic,resource_constrained,34,riar,109.15,1.0,11
small_clinic,resource_constrained,35,gated,166.07500000000002,1.0,0
small_clinic,resource_constrained,35,naive,109.07500000000002,1.0,19
small_clinic,resource_constrained,35,mvr,113.19999999999999,1.0,25
small_clinic,resource_constrained,35,riar,70.55,1.0,13
small_clinic,resource_constrained,36,gated,110.125,0.8571428571428571,0
small_clinic,resource_constrained,36,naive,85.875,1.0,4
small_clinic,resource_constrained,36,mvr,72.80000000000001,1.0,4
small_clinic,resource_constrained,36,riar,70.025,1.0,5
small_clinic,resource_constrained,37,gated,107.52499999999999,1.0,0
small_clinic,resource_constrained,37,naive,94.4,1.0,10
small_clinic,resource_constrained,37,mvr,126.275,1.0,21
small_clinic,resource_constrained,37,riar,60.925000000000004,1.0,6
small_clinic,resource_constrained,38,gated,124.625,1.0,0
small_clinic,resource_constrained,38,naive,119.875,1.0,25
small_clinic,resource_constrained,38,mvr,103.775,1.0,25
small_clinic,resource_constrained,38,riar,57.625,1.0,16
small_clinic,resource_constrained,39,gated,112.62500000000001,1.0,0
small_clinic,resource_constrained,39,naive,103.87500000000001,1.0,11
small_clinic,resource_constrained,39,mvr,48.15,1.0,6
small_clinic,resource_constrained,39,riar,49.85,1.0,2
small_clinic,resource_constrained,40,gated,177.85,0.5714285714285714,0
small_clinic,resource_constrained,40,naive,144.35,1.0,28
small_clinic,resource_constrained,40,mvr,91.325,1.0,19
small_clinic,resource_constrained,40,riar,38.35,1.0,8
small_clinic,resource_constrained,41,gated,179.45,1.0,0
small_clinic,resource_constrained,41,naive,92.85000000000001,1.0,9
small_clinic,resource_constrained,41,mvr,78.225,1.0,8
small_clinic,resource_constrained,41,riar,44.125,1.0,3
small_clinic,resource_constrained,42,gated,60.47500000000001,1.0,0
small_clinic,resource_constrained,42,naive,121.32499999999999,1.0,17
small_clinic,resource_constrained,42,mvr,97.47500000000001,1.0,16
small_clinic,resource_constrained,42,riar,67.375,1.0,5
small_clinic,resource_constrained,43,gated,131.125,1.0,0
small_clinic,resource_constrained,43,naive,152.95000000000002,1.0,25
small_clinic,resource_constrained,43,mvr,150.975,1.0,24
small_clinic,resource_constrained,43,riar,56.35,1.0,10
small_clinic,resource_constrained,44,gated,131.10000000000002,1.0,0
small_clinic,resource_constrained,44,naive,116.07500000000002,1.0,14
small_clinic,resource_constrained,44,mvr,100.67500000000001,1.0,14
small_clinic,resource_constrained,44,riar,51.00000000000001,1.0,6
small_clinic,resource_constrained,45,gated,0.0,1.0,0
small_clinic,resource_constrained,45,naive,0.0,1.0,0
small_clinic,resource_constrained,45,mvr,0.0,1.0,0
small_clinic,resource_constrained,45,riar,0.0,1.0,0
small_clinic,resource_constrained,46,gated,107.04999999999998,1.0,0
small_clinic,resource_constrained,46,naive,132.65,1.0,17
small_clinic,resource_constrained,46,mvr,62.35,1.0,10
small_clinic,resource_constrained,46,riar,58.1,1.0,7
small_clinic,resource_constrained,47,gated,147.25,1.0,0
small_clinic,resource_constrained,47,naive,97.05,1.0,6
small_clinic,resource_constrained,47,mvr,100.975,1.0,12
small_clinic,resource_constrained,47,riar,54.625,1.0,2
small_clinic,resource_constrained,48,gated,122.625,1.0,0
small_clinic,resource_constrained,48,naive,133.8,1.0,15
small_clinic,resource_constrained,48,mvr,111.325,1.0,14
small_clinic,resource_constrained,48,riar,93.375,1.0,10
small_clinic,resource_constrained,49,gated,133.625,1.0,0
small_clinic,resource_constrained,49,naive,109.65,1.0,9
small_clinic,resource_constrained,49,mvr,90.325,1.0,7
small_clinic,resource_constrained,49,riar,72.625,1.0,3
small_clinic,resource_constrained,50,gated,142.025,1.0,0
small_clinic,resource_constrained,50,naive,108.55,1.0,23
small_clinic,resource_constrained,50,mvr,96.925,1.0,23
small_clinic,resource_constrained,50,riar,87.55,1.0,15
small_clinic,resource_constrained,51,gated,132.175,1.0,0
small_clinic,resource_constrained,51,naive,107.17500000000001,1.0,3
small_clinic,resource_constrained,51,mvr,80.42500000000001,1.0,5
small_clinic,resource_constrained,51,riar,65.7,1.0,1
small_clinic,resource_constrained,52,gated,122.775,1.0,0
small_clinic,resource_constrained,52,naive,87.775,1.0,6
small_clinic,resource_constrained,52,mvr,73.975,1.0,6
small_clinic,resource_constrained,52,riar,72.975,1.0,4
small_clinic,resource_constrained,53,gated,116.82499999999999,1.0,0
small_clinic,resource_constrained,53,naive,113.675,1.0,21
small_clinic,resource_constrained,53,mvr,88.67500000000001,1.0,18
small_clinic,resource_constrained,53,riar,53.65,1.0,15
small_clinic,resource_constrained,54,gated,120.95,1.0,0
small_clinic,resource_constrained,54,naive,115.05000000000001,1.0,9
small_clinic,resource_constrained,54,mvr,84.94999999999999,1.0,9
small_clinic,resource_constrained,54,riar,80.97500000000001,1.0,8
small_clinic,resource_constrained,55,gated,118.125,1.0,0
small_clinic,resource_constrained,55,naive,93.525,1.0,15
small_clinic,resource_constrained,55,mvr,113.37500000000001,0.14285714285714285,22
small_clinic,resource_constrained,55,riar,51.025,1.0,7
small_clinic,resource_constrained,56,gated,158.15,1.0,0
small_clinic,resource_constrained,56,naive,111.02500000000002,0.8571428571428571,9
small_clinic,resource_constrained,56,mvr,112.05000000000001,1.0,14
small_clinic,resource_constrained,56,riar,35.724999999999994,1.0,0
small_clinic,resource_constrained,57,gated,109.25,1.0,0
small_clinic,resource_constrained,57,naive,104.54999999999998,1.0,9
small_clinic,resource_constrained,57,mvr,83.5,1.0,9
small_clinic,resource_constrained,57,riar,38.824999999999996,1.0,1
small_clinic,resource_constrained,58,gated,110.575,1.0,0
small_clinic,resource_constrained,58,naive,128.5,1.0,17
small_clinic,resource_constrained,58,mvr,82.475,1.0,10
small_clinic,resource_constrained,58,riar,138.225,1.0,19
small_clinic,resource_constrained,59,gated,124.05000000000001,1.0,0
small_clinic,resource_constrained,59,naive,110.97500000000001,1.0,12
small_clinic,resource_constrained,59,mvr,96.875,1.0,12
small_clinic,resource_constrained,59,riar,47.175,1.0,4
small_clinic,resource_constrained,60,gated,132.75,1.0,0
small_clinic,resource_constrained,60,naive,98.375,1.0,11
small_clinic,resource_constrained,60,mvr,81.375,1.0,11
small_clinic,resource_constrained,60,riar,81.14999999999999,1.0,10
small_clinic,resource_constrained,61,gated,169.6,1.0,0
small_clinic,resource_constrained,61,naive,98.94999999999999,1.0,11
small_clinic,resource_constrained,61,mvr,72.475,1.0,13
small_clinic,resource_constrained,61,riar,75.2,1.0,6
small_clinic,resource_constrained,62,gated,149.3,1.0,0
small_clinic,resource_constrained,62,naive,119.8,0.14285714285714285,13
small_clinic,resource_constrained,62,mvr,110.05,1.0,18
small_clinic,resource_constrained,62,riar,65.275,0.8571428571428571,7
small_clinic,resource_constrained,63,gated,151.4,0.14285714285714285,0
small_clinic,resource_constrained,63,naive,134.025,1.0,18
small_clinic,resource_constrained,63,mvr,116.42500000000003,0.14285714285714285,22
small_clinic,resource_constrained,63,riar,85.65,1.0,8
small_clinic,resource_constrained,64,gated,133.675,1.0,0
small_clinic,resource_constrained,64,naive,189.60000000000002,0.8571428571428571,26
small_clinic,resource_constrained,64,mvr,194.20000000000002,0.8571428571428571,30
small_clinic,resource_constrained,64,riar,88.2,1.0,6
small_clinic,resource_constrained,65,gated,127.15000000000002,1.0,0
small_clinic,resource_constrained,65,naive,110.225,0.8571428571428571,14
small_clinic,resource_constrained,65,mvr,105.525,0.8571428571428571,14
small_clinic,resource_constrained,65,riar,79.725,1.0,8
small_clinic,resource_constrained,66,gated,105.175,1.0,0
small_clinic,resource_constrained,66,naive,81.675,1.0,19
small_clinic,resource_constrained,66,mvr,95.175,1.0,23
small_clinic,resource_constrained,66,riar,71.8,1.0,16
small_clinic,resource_constrained,67,gated,135.95,1.0,0
small_clinic,resource_constrained,67,naive,99.75,1.0,20
small_clinic,resource_constrained,67,mvr,78.80000000000001,1.0,21
small_clinic,resource_constrained,67,riar,58.35,1.0,5
small_clinic,resource_constrained,68,gated,130.75,0.14285714285714285,0
small_clinic,resource_constrained,68,naive,108.55000000000001,0.8571428571428571,12
small_clinic,resource_constrained,68,mvr,99.875,1.0,13
small_clinic,resource_constrained,68,riar,158.07500000000002,0.8571428571428571,27
small_clinic,resource_constrained,69,gated,127.47500000000002,1.0,0
small_clinic,resource_constrained,69,naive,123.37500000000001,1.0,6
small_clinic,resource_constrained,69,mvr,102.275,1.0,6
small_clinic,resource_constrained,69,riar,63.475,1.0,1
small_clinic,resource_constrained,70,gated,100.92500000000001,1.0,0
small_clinic,resource_constrained,70,naive,96.675,1.0,13
small_clinic,resource_constrained,70,mvr,84.75,1.0,13
small_clinic,resource_constrained,70,riar,66.02499999999999,1.0,6
small_clinic,resource_constrained,71,gated,139.325,1.0,0
small_clinic,resource_constrained,71,naive,112.925,1.0,16
small_clinic,resource_constrained,71,mvr,102.225,1.0,19
small_clinic,resource_constrained,71,riar,61.574999999999996,1.0,9
small_clinic,resource_constrained,72,gated,122.04999999999998,1.0,0
small_clinic,resource_constrained,72,naive,104.12500000000001,1.0,8
small_clinic,resource_constrained,72,mvr,114.725,1.0,10
small_clinic,resource_constrained,72,riar,62.22500000000001,1.0,2
small_clinic,resource_constrained,73,gated,0.0,1.0,0
small_clinic,resource_constrained,73,naive,0.0,1.0,0
small_clinic,resource_constrained,73,mvr,0.0,1.0,0
small_clinic,resource_constrained,73,riar,0.0,1.0,0
small_clinic,resource_constrained,74,gated,135.39999999999998,1.0,0
small_clinic,resource_constrained,74,naive,143.55,1.0,13
small_clinic,resource_constrained,74,mvr,111.225,0.8571428571428571,13
small_clinic,resource_constrained,74,riar,52.025000000000006,1.0,2
small_clinic,resource_constrained,75,gated,151.72500000000002,1.0,0
small_clinic,resource_constrained,75,naive,151.125,0.8571428571428571,23
small_clinic,resource_constrained,75,mvr,89.12499999999999,1.0,16
small_clinic,resource_constrained,75,riar,63.875,1.0,8
small_clinic,resource_constrained,76,gated,114.5,1.0,0
small_clinic,resource_constrained,76,naive,193.525,0.8571428571428571,22
small_clinic,resource_constrained,76,mvr,223.87500000000003,0.5714285714285714,40
small_clinic,resource_constrained,76,riar,72.2,1.0,4
small_clinic,resource_constrained,77,gated,153.79999999999998,0.14285714285714285,0
small_clinic,resource_constrained,77,naive,157.475,0.8571428571428571,18
small_clinic,resource_constrained,77,mvr,71.22500000000001,1.0,4
small_clinic,resource_constrained,77,riar,67.425,1.0,2
small_clinic,resource_constrained,78,gated,8.325,1.0,0
small_clinic,resource_constrained,78,naive,109.74999999999999,1.0,22
small_clinic,resource_constrained,78,mvr,102.375,1.0,22
small_clinic,resource_constrained,78,riar,86.325,1.0,18
small_clinic,resource_constrained,79,gated,126.87499999999999,1.0,0
small_clinic,resource_constrained,79,naive,116.85000000000002,1.0,14
small_clinic,resource_constrained,79,mvr,97.19999999999999,1.0,13
small_clinic,resource_constrained,79,riar,72.5,1.0,8
small_clinic,resource_constrained,80,gated,0.0,1.0,0
small_clinic,resource_constrained,80,naive,0.0,1.0,0
small_clinic,resource_constrained,80,mvr,0.0,1.0,0
small_clinic,resource_constrained,80,riar,0.0,1.0,0
small_clinic,resource_constrained,81,gated,152.975,1.0,0
small_clinic,resource_constrained,81,naive,131.35000000000002,1.0,20
small_clinic,resource_constrained,81,mvr,117.94999999999999,1.0,20
small_clinic,resource_constrained,81,riar,38.599999999999994,1.0,9
small_clinic,resource_constrained,82,gated,166.55,1.0,0
small_clinic,resource_constrained,82,naive,133.29999999999998,1.0,16
small_clinic,resource_constrained,82,mvr,86.625,1.0,11
small_clinic,resource_constrained,82,riar,60.275,1.0,7
small_clinic,resource_constrained,83,gated,136.675,1.0,0
small_clinic,resource_constrained,83,naive,95.05000000000001,1.0,9
small_clinic,resource_constrained,83,mvr,81.2,1.0,9
small_clinic,resource_constrained,83,riar,96.925,1.0,8
small_clinic,resource_constrained,84,gated,168.875,1.0,0
small_clinic,resource_constrained,84,naive,232.875,0.7142857142857143,37
small_clinic,resource_constrained,84,mvr,86.125,0.14285714285714285,8
small_clinic,resource_constrained,84,riar,59.300000000000004,1.0,2
small_clinic,resource_constrained,85,gated,74.77499999999999,1.0,0
small_clinic,resource_constrained,85,naive,106.175,1.0,14
small_clinic,resource_constrained,85,mvr,92.475,1.0,15
small_clinic,resource_constrained,85,riar,62.375,1.0,7
small_clinic,resource_constrained,86,gated,113.72500000000001,1.0,0
small_clinic,resource_constrained,86,naive,122.7,0.8571428571428571,12
small_clinic,resource_constrained,86,mvr,92.275,1.0,13
small_clinic,resource_constrained,86,riar,94.625,1.0,9
small_clinic,resource_constrained,87,gated,120.025,1.0,0
small_clinic,resource_constrained,87,naive,124.025,1.0,13
small_clinic,resource_constrained,87,mvr,122.325,1.0,14
small_clinic,resource_constrained,87,riar,76.55000000000001,1.0,9
small_clinic,resource_constrained,88,gated,0.0,1.0,0
small_clinic,resource_constrained,88,naive,0.0,1.0,0
small_clinic,resource_constrained,88,mvr,0.0,1.0,0
small_clinic,resource_constrained,88,riar,0.0,1.0,0
small_clinic,resource_constrained,89,gated,82.875,1.0,0
small_clinic,resource_constrained,89,naive,121.925,1.0,12
small_clinic,resource_constrained,89,mvr,101.7,1.0,12
small_clinic,resource_constrained,89,riar,49.62499999999999,1.0,3
small_clinic,resource_constrained,90,gated,146.625,0.8571428571428571,0
small_clinic,resource_constrained,90,naive,66.175,1.0,9
small_clinic,resource_constrained,90,mvr,47.425000000000004,1.0,8
small_clinic,resource_constrained,90,riar,31.350000000000005,1.0,2
small_clinic,resource_constrained,91,gated,120.7,1.0,0
small_clinic,resource_constrained,91,naive,83.225,1.0,6
small_clinic,resource_constrained,91,mvr,57.65,1.0,5
small_clinic,resource_constrained,91,riar,57.975,1.0,1
small_clinic,resource_constrained,92,gated,103.05000000000001,1.0,0
small_clinic,resource_constrained,92,naive,101.825,1.0,7
small_clinic,resource_constrained,92,mvr,91.0,1.0,7
small_clinic,resource_constrained,92,riar,81.67500000000001,1.0,5
small_clinic,resource_constrained,93,gated,139.15,1.0,0
small_clinic,resource_constrained,93,naive,82.7,1.0,17
small_clinic,resource_constrained,93,mvr,55.3,1.0,18
small_clinic,resource_constrained,93,riar,21.799999999999997,1.0,2
small_clinic,resource_constrained,94,gated,142.8,1.0,0
small_clinic,resource_constrained,94,naive,96.125,1.0,8
small_clinic,resource_constrained,94,mvr,81.22500000000001,1.0,8
small_clinic,resource_constrained,94,riar,99.775,1.0,10
small_clinic,resource_constrained,95,gated,126.05000000000001,1.0,0
small_clinic,resource_constrained,95,naive,122.15,0.8571428571428571,19
