profile,portfolio,entry_point,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
high_capacity,baseline_flat,internet_facing,weighted_service_hours_lost,75,22.57566666666667,5.6000000000000005,30.263946130013522,43.15,66.355,88.10999999999997,16.076833333333333,29.55159166666666
high_capacity,baseline_flat,internet_facing,catastrophic,75,0.4266666666666667,0.0,0.49792361655973694,1.0,1.0,1.0,0.32,0.5333333333333333
high_capacity,baseline_flat,medical_device,weighted_service_hours_lost,75,20.140333333333334,7.275,29.178100559362196,18.1625,73.42000000000002,82.99499999999998,14.007500000000004,27.166624999999996
high_capacity,baseline_flat,medical_device,catastrophic,75,0.36,0.0,0.48323235975409745,1.0,1.0,1.0,0.25333333333333335,0.48
high_capacity,baseline_flat,privileged_system,weighted_service_hours_lost,75,21.009,7.675000000000001,28.383089286271012,26.0,67.19500000000005,83.07249999999999,15.071941666666666,27.61174166666666
high_capacity,baseline_flat,privileged_system,catastrophic,75,0.44,0.0,0.4997296566441998,1.0,1.0,1.0,0.3333333333333333,0.56
high_capacity,baseline_flat,vendor_connection,weighted_service_hours_lost,75,26.321999999999996,7.300000000000001,31.99844299421542,60.6,76.39500000000001,80.48249999999999,19.265091666666663,33.453875000000004
high_capacity,baseline_flat,vendor_connection,catastrophic,75,0.4666666666666667,0.0,0.5022472023339226,1.0,1.0,1.0,0.36,0.5733333333333334
high_capacity,baseline_flat,workstation,weighted_service_hours_lost,75,7.112000000000001,2.0,14.530237786599887,9.4,14.960000000000004,23.039999999999992,4.268266666666667,10.781874999999998
high_capacity,baseline_flat,workstation,catastrophic,75,0.08,0.0,0.27312011019804927,0.0,0.0,1.0,0.02666666666666667,0.14666666666666667
high_capacity,basic_segmentation,internet_facing,weighted_service_hours_lost,75,3.9963333333333337,2.0,5.042975267592491,5.375,12.265000000000002,14.1,2.9202833333333333,5.122891666666665
high_capacity,basic_segmentation,internet_facing,catastrophic,75,0.12,0.0,0.32714985408376235,0.0,1.0,1.0,0.05333333333333334,0.2
high_capacity,basic_segmentation,medical_device,weighted_service_hours_lost,75,3.7116666666666664,1.4,5.716663547657594,4.9,11.960000000000004,13.359999999999998,2.5113166666666666,5.025358333333333
high_capacity,basic_segmentation,medical_device,catastrophic,75,0.02666666666666667,0.0,0.16219218941214866,0.0,0.0,0.0,0.0,0.06666666666666667
high_capacity,basic_segmentation,privileged_system,weighted_service_hours_lost,75,5.728,3.2,6.413254275748422,8.787500000000001,15.270000000000007,20.73,4.380316666666666,7.25875
high_capacity,basic_segmentation,privileged_system,catastrophic,75,0.10666666666666667,0.0,0.3107677212591047,0.0,0.6000000000000085,1.0,0.04,0.17333333333333334
high_capacity,basic_segmentation,vendor_connection,weighted_service_hours_lost,75,5.163333333333334,1.8,7.66574551360005,7.425000000000001,13.760000000000003,23.279999999999994,3.4563,6.918749999999999
high_capacity,basic_segmentation,vendor_connection,catastrophic,75,0.05333333333333334,0.0,0.2262104576963036,0.0,0.0,0.29999999999999716,0.013333333333333334,0.10666666666666667
high_capacity,basic_segmentation,workstation,weighted_service_hours_lost,75,3.2910000000000004,1.2,4.308948576838419,5.800000000000001,9.4,10.689999999999996,2.402,4.2935333333333325
high_capacity,basic_segmentation,workstation,catastrophic,75,0.04,0.0,0.19727878476642874,0.0,0.0,0.0,0.0,0.09333333333333334
high_capacity,detection_plus_backups,internet_facing,weighted_service_hours_lost,75,3.093,0.8,4.715460411443605,4.2,10.560000000000006,12.379999999999997,2.0713000000000004,4.258341666666667
high_capacity,detection_plus_backups,internet_facing,catastrophic,75,0.02666666666666667,0.0,0.16219218941214866,0.0,0.0,0.0,0.0,0.06666666666666667
high_capacity,detection_plus_backups,medical_device,weighted_service_hours_lost,75,4.400333333333333,0.8,6.564165481496371,7.1,13.120000000000012,20.52,3.0369500000000005,5.923608333333332
high_capacity,detection_plus_backups,medical_device,catastrophic,75,0.05333333333333334,0.0,0.2262104576963036,0.0,0.0,0.29999999999999716,0.013333333333333334,0.10666666666666667
high_capacity,detection_plus_backups,privileged_system,weighted_service_hours_lost,75,3.086666666666667,1.2,5.000767396065284,3.5,9.010000000000009,14.349999999999996,2.095,4.301041666666667
high_capacity,detection_plus_backups,privileged_system,catastrophic,75,0.05333333333333334,0.0,0.2262104576963036,0.0,0.0,0.29999999999999716,0.013333333333333334,0.10666666666666667
high_capacity,detection_plus_backups,vendor_connection,weighted_service_hours_lost,75,2.899,1.2,3.9416916556357005,4.1375,9.4,11.930000000000001,2.015658333333334,3.8077583333333327
high_capacity,detection_plus_backups,vendor_connection,catastrophic,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_capacity,detection_plus_backups,workstation,weighted_service_hours_lost,75,4.2186666666666675,1.6,5.795978180002325,7.299999999999999,12.800000000000002,14.819999999999997,2.931316666666667,5.56135
