facility,profile,portfolio,n,n_no_outage,n_recovered,n_censored_never_recovered,outage_rate,recovery_prob_given_outage,median_recovery_step_recovered,p90_recovery_step_recovered,share_recovered_within_horizon
regional_hospital,high_capacity,seg_plus_patch,125,58,64,3,0.536,0.9552238806,83.5,171.1,0.976
regional_hospital,intermediate_capacity,baseline_flat,125,3,81,41,0.976,0.6639344262,174,190,0.672
regional_hospital,intermediate_capacity,basic_segmentation,125,16,53,56,0.872,0.4862385321,168,186.8,0.552
regional_hospital,intermediate_capacity,detection_plus_backups,125,27,96,2,0.784,0.9795918367,103,163.5,0.984
regional_hospital,intermediate_capacity,fast_detection,125,16,102,7,0.872,0.9357798165,133.5,175.9,0.944
regional_hospital,intermediate_capacity,full_defense,125,61,62,2,0.512,0.96875,82.5,167.5,0.984
regional_hospital,intermediate_capacity,identity_controls,125,7,69,49,0.944,0.5847457627,175,188.2,0.608
regional_hospital,intermediate_capacity,isolated_backups,125,10,106,9,0.92,0.9217391304,150.5,185.5,0.928
regional_hospital,intermediate_capacity,least_privilege,125,24,78,23,0.808,0.7722772277,131,181,0.816
regional_hospital,intermediate_capacity,patch_90,125,19,43,63,0.848,0.4056603774,168,187.8,0.496
regional_hospital,intermediate_capacity,patch_plus_least_privilege,125,42,79,4,0.664,0.9518072289,101,163.4,0.968
regional_hospital,intermediate_capacity,profile_baseline,125,13,62,50,0.896,0.5535714286,167,187.9,0.6
regional_hospital,intermediate_capacity,seg_detect_backup,125,39,83,3,0.688,0.9651162791,85,168.8,0.976
regional_hospital,intermediate_capacity,seg_plus_detection,125,36,80,9,0.712,0.8988764045,97.5,179.5,0.928
regional_hospital,intermediate_capacity,seg_plus_patch,125,28,75,22,0.776,0.7731958763,100,180.6,0.824
regional_hospital,resource_constrained,baseline_flat,125,1,0,124,0.992,0,,,0.008
regional_hospital,resource_constrained,basic_segmentation,125,2,2,121,0.984,0.0162601626,116.5,172.1,0.032
regional_hospital,resource_constrained,detection_plus_backups,125,4,109,12,0.968,0.9008264463,143,180.4,0.904
regional_hospital,resource_constrained,fast_detection,125,9,81,35,0.928,0.6982758621,171,187,0.72
regional_hospital,resource_constrained,full_defense,125,42,80,3,0.664,0.9638554217,106.5,178,0.976
regional_hospital,resource_constrained,identity_controls,125,2,2,121,0.984,0.0162601626,89.5,113.9,0.032
regional_hospital,resource_constrained,isolated_backups,125,2,18,105,0.984,0.1463414634,183,192,0.16
regional_hospital,resource_constrained,least_privilege,125,1,10,114,0.992,0.08064516129,96.5,155.8,0.088
regional_hospital,resource_constrained,patch_90,125,6,3,116,0.952,0.02521008403,98,157.2,0.072
regional_hospital,resource_constrained,patch_plus_least_privilege,125,23,39,63,0.816,0.3823529412,100,171,0.496
regional_hospital,resource_constrained,profile_baseline,125,3,2,120,0.976,0.01639344262,114.5,149.3,0.04
regional_hospital,resource_constrained,seg_detect_backup,125,9,107,9,0.928,0.9224137931,155,181,0.928
regional_hospital,resource_constrained,seg_plus_detection,125,7,67,51,0.944,0.5677966102,170,189.4,0.592
