patch_coverage,detection_delay,n,catastrophic_prob,mean_hours_lost,hours_ci95_lo,hours_ci95_hi,mean_pct_compromised
0.25,3,5,1.0,65.0,30.81500000000001,97.6,0.542959588654789
0.25,24,5,0.6,143.945,45.000000000000014,242.89000000000001,0.6073891625615764
0.9,3,5,0.0,1.03,0.0,2.55,0.040352941176470564
0.9,24,5,0.8,181.23000000000002,91.865,241.15499999999997,0.7106675054091467
