facility,profile,portfolio,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
large_hospital,high_capacity,full_defense,identity_compromised,125,0.072,0,0.2595281077,0,0,1,0.032,0.12
large_hospital,high_capacity,full_defense,recovered_within_horizon,125,0.944,1,0.2308469679,0,1,1,0.904,0.984
large_hospital,high_capacity,full_defense,pct_clinical_capacity_lost,125,0.02740808824,0.01960784314,0.02583812176,0.0318627451,0.06323529412,0.07622549019,0.0231013174,0.03213201593
large_hospital,high_capacity,full_defense,defensive_isolation_node_steps,125,2609.624,2602,273.6680254,378,2974.4,3080.8,2564.8908,2655.992
large_hospital,high_capacity,identity_controls,weighted_service_hours_lost,125,16.6888,8.8,20.71865283,18.275,48.635,65.8,13.295225,20.675835
large_hospital,high_capacity,identity_controls,pct_compromised,125,0.07105455055,0.003658536585,0.1172076124,0.06098152743,0.2758823529,0.3099066607,0.05123136834,0.09280651921
large_hospital,high_capacity,identity_controls,catastrophic,125,0.272,0,0.4467805985,1,1,1,0.2,0.352
large_hospital,high_capacity,identity_controls,total_service_downtime_steps,125,91.4,48,114.7873209,97,262.4,363.6,72.4466,113.2272
large_hospital,high_capacity,identity_controls,backup_compromised,125,0.344,0,0.4769526926,1,1,1,0.264,0.432
large_hospital,high_capacity,identity_controls,identity_compromised,125,0.288,0,0.4546533596,1,1,1,0.208,0.368
large_hospital,high_capacity,identity_controls,recovered_within_horizon,125,0.904,1,0.2957767249,0,1,1,0.848,0.952
large_hospital,high_capacity,identity_controls,pct_clinical_capacity_lost,125,0.07199142157,0.04166666667,0.08726213146,0.08578431372,0.2039215686,0.2721200981,0.05758517157,0.08842843138
large_hospital,high_capacity,identity_controls,defensive_isolation_node_steps,125,2581.144,2557,355.4087312,431,2957.6,3015.2,2514.7744,2640.8018
large_hospital,high_capacity,isolated_backups,weighted_service_hours_lost,125,15.7926,7.8,19.40819036,12.8,50.19,59.595,12.573355,19.30648
large_hospital,high_capacity,isolated_backups,pct_compromised,125,0.07224574527,0.005235602094,0.105902741,0.1454434788,0.2571577562,0.2820673269,0.05375612161,0.09128544712
large_hospital,high_capacity,isolated_backups,catastrophic,125,0.296,0,0.458327957,1,1,1,0.216,0.376
large_hospital,high_capacity,isolated_backups,total_service_downtime_steps,125,82.28,40,99.9593143,72,258.4,303.8,65.6158,100.2254
large_hospital,high_capacity,isolated_backups,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,high_capacity,isolated_backups,identity_compromised,125,0.352,0,0.4795158849,1,1,1,0.272,0.44
large_hospital,high_capacity,isolated_backups,recovered_within_horizon,125,0.968,1,0.1767082524,0,1,1,0.936,0.992
