profile,catastrophic_target,min_budget,reachable,selected_catastrophic_prob,selected_cat_prob_ci_lo,selected_cat_prob_ci_hi,min_budget_ci95_upper,reachable_ci95_upper
resource_constrained,0.05,6,1,0,0,0.6576197725,,0
intermediate_capacity,0.05,3,1,0,0,0.6576197725,,0
high_capacity,0.05,0,1,0,0,0.6576197725,,0
