family,reference,treatment,profile,n,d_weighted_service_hours_lost,d_weighted_service_hours_lost_lo,d_weighted_service_hours_lost_hi,d_sustained_clinical_outage_k4,d_sustained_clinical_outage_k4_lo,d_sustained_clinical_outage_k4_hi,d_sustained_clinical_outage_k1,d_sustained_clinical_outage_k1_lo,d_sustained_clinical_outage_k1_hi,d_ever_compromised_fraction,d_ever_compromised_fraction_lo,d_ever_compromised_fraction_hi,share_worse_hours,share_better_hours
key,disconnect,islands,pooled,600,-85.07186111111112,-89.38752569444443,-80.67323368055557,-0.165,-0.19166666666666668,-0.13833333333333334,-0.265,-0.29333333333333333,-0.23666666666666666,-0.00016017448127490655,-0.0013997873820669185,0.0009254160503604345,0.041666666666666664,0.8833333333333333
key,disconnect,islands,high_capacity,200,-131.18883333333332,-140.73446666666666,-121.63630833333332,-0.355,-0.42,-0.29,-0.62,-0.685,-0.555,0.0,0.0,0.0,0.0,0.955
key,disconnect,islands,intermediate_capacity,200,-106.12783333333333,-113.55366979166666,-99.23420520833332,-0.125,-0.17,-0.08,-0.155,-0.205,-0.105,-0.00034875952879134364,-0.0033385286317133317,0.002363697004196009,0.005,0.995
key,disconnect,islands,resource_constrained,200,-17.898916666666665,-22.861162499999995,-13.352592708333333,-0.015,-0.035,0.0,-0.02,-0.04,-0.005,-0.00013176391503337602,-0.0017649572775546934,0.0015632784903781803,0.12,0.7
key,q_soft_today,q_containment_today_shielded,pooled,600,1.3769722222222238,-6.990511458333334,9.892745138888886,0.006666666666666667,-0.023333333333333334,0.035,-0.018333333333333333,-0.04833333333333333,0.011666666666666667,0.04928596183352132,0.031185312848770377,0.06681885554571663,0.31166666666666665,0.6883333333333334
key,q_soft_today,q_containment_today_shielded,high_capacity,200,-24.684,-35.085603125,-15.444048958333338,-0.165,-0.22,-0.11,-0.19,-0.25,-0.13,0.007913326668296378,0.006204699957213709,0.010062207434643288,0.04,0.96
key,q_soft_today,q_containment_today_shielded,intermediate_capacity,200,11.49208333333333,-5.0989041666666655,27.958088541666623,0.145,0.08,0.215,0.1,0.035,0.165,0.1132949787158632,0.08230529330854108,0.1426453280121008,0.52,0.48
key,q_soft_today,q_containment_today_shielded,resource_constrained,200,17.32283333333333,1.3209593750000004,33.418952083333316,0.04,0.01,0.07012499999999933,0.035,0.005,0.065,0.026649580116404364,-0.01596274127288544,0.07090210630878487,0.375,0.625
key,q_clinical_today,q_containment_today_shielded,pooled,600,-14.811611111111112,-19.62011944444444,-10.1624,0.011666666666666667,0.0016666666666666668,0.023333333333333334,0.005,-0.005,0.016666666666666666,-0.07508327663539154,-0.08435915114702662,-0.06542974736162274,0.37,0.43333333333333335
key,q_clinical_today,q_containment_today_shielded,high_capacity,200,-0.07054166666666663,-0.25527291666666657,0.09997916666666665,-0.01,-0.025,0.0,-0.015,-0.035,0.0,-7.045325172929608e-05,-0.00044682334604658115,0.00027591066458772375,0.405,0.095
key,q_clinical_today,q_containment_today_shielded,intermediate_capacity,200,-33.91020833333334,-44.56286770833333,-23.210936458333336,0.03,0.01,0.055,0.02,0.0,0.045,-0.10394029951374865,-0.12604318231418496,-0.08305318514092672,0.31,0.61
key,q_clinical_today,q_containment_today_shielded,resource_constrained,200,-10.454083333333333,-18.941333333333333,-1.5924249999999986,0.015,0.0,0.03,0.01,0.0,0.025,-0.12123907714069666,-0.13791572158847645,-0.1018542988101026,0.395,0.595
key,q_containment_today,q_soft_today,pooled,600,-31.211930555555554,-35.93862222222222,-26.917411111111115,-0.028333333333333332,-0.041666666666666664,-0.015,-0.02,-0.03166666666666667,-0.01,0.11853511135925696,0.10657520533850119,0.13102938793649394,0.006666666666666667,0.7416666666666667
key,q_containment_today,q_soft_today,high_capacity,200,-14.657333333333334,-17.115038541666667,-12.385896875,-0.05,-0.08,-0.025,-0.025,-0.05,-0.005,0.0,0.0,0.0,0.0,0.68
key,q_containment_today,q_soft_today,intermediate_capacity,200,-59.497125,-72.20879270833333,-47.712179166666665,-0.04,-0.07,-0.015,-0.04,-0.065,-0.015,0.07950739589976095,0.05884698177773702,0.1013290887952513,0.0,0.785
key,q_containment_today,q_soft_today,resource_constrained,200,-19.481333333333332,-24.573196874999997,-14.198952083333333,0.005,0.0,0.015,0.005,0.0,0.015,0.2760979381780099,0.24530593418578345,0.3073168958149334,0.02,0.76
key,islands,q_containment_replicas_shielded,pooled,600,-49.62949999999999,-55.583924305555556,-43.967964236111115,-0.08666666666666667,-0.11333333333333333,-0.06,-0.08166666666666667,-0.105,-0.058333333333333334,-0.10553710253760357,-0.11812899306034565,-0.09295917797866503,0.16166666666666665,0.735
key,islands,q_containment_replicas_shielded,high_capacity,200,-1.4552916666666664,-1.877221875,-1.0670145833333333,-0.005,-0.015,0.0,-0.02,-0.045,0.0,-0.003327232851875339,-0.0046626874416203215,-0.001826074988131149,0.25,0.5
key,islands,q_containment_replicas_shielded,intermediate_capacity,200,-75.64349999999999,-88.34076770833333,-62.80198750000001,-0.2,-0.265,-0.135,-0.19,-0.25,-0.13,-0.15247834730982973,-0.17966775015144473,-0.12557556799873906,0.16,0.79
key,islands,q_containment_replicas_shielded,resource_constrained,200,-71.78970833333332,-83.65156458333334,-59.42457083333335,-0.055,-0.09,-0.02,-0.035,-0.065,-0.01,-0.1608057274511057,-0.18590530680596043,-0.1361801571160008,0.075,0.915
key,q_soft_replicas,q_containment_replicas_shielded,pooled,600,66.45165277777778,59.728921875000005,73.06647743055555,0.30833333333333335,0.275,0.34,0.20833333333333334,0.17333333333333334,0.24666666666666667,0.22269180900833202,0.21077726770987573,0.23390287402313922,0.665,0.26166666666666666
key,q_soft_replicas,q_containment_replicas_shielded,high_capacity,200,-0.41233333333333333,-1.3655249999999997,0.46712708333333314,0.005,0.0,0.015,-0.08,-0.12,-0.04,0.002947426817208371,0.0016489595137951676,0.004370022393982614,0.435,0.415
key,q_soft_replicas,q_containment_replicas_shielded,intermediate_capacity,200,44.288125,35.327717708333324,54.46292291666666,0.495,0.43,0.565,0.395,0.32,0.47,0.13751267640756729,0.1175027467435615,0.15992692951149487,0.72,0.22
key,q_soft_replicas,q_containment_replicas_shielded,resource_constrained,200,155.47916666666666,137.73073958333333,173.86908020833332,0.425,0.359875,0.495,0.31,0.25,0.375,0.5276153238002204,0.4999638658072864,0.5533461342851403,0.84,0.15
key,q_containment_today_shielded,q_containment_replicas_shielded,pooled,600,-36.035486111111105,-41.295672222222215,-31.251183680555556,-0.11833333333333333,-0.14166666666666666,-0.095,-0.15333333333333332,-0.18166666666666667,-0.125,-0.041751221902379454,-0.05145657614773037,-0.03175017840533823,0.105,0.78
key,q_containment_today_shielded,q_containment_replicas_shielded,high_capacity,200,-5.860291666666667,-6.691788541666666,-4.9887375,-0.02,-0.04,-0.005,-0.165,-0.215,-0.115,-0.0055783383400440315,-0.007161196359797234,-0.004177573213794778,0.0,0.72
key,q_containment_today_shielded,q_containment_replicas_shielded,intermediate_capacity,200,-58.266833333333324,-68.46723333333333,-48.420193749999996,-0.275,-0.335,-0.215,-0.25,-0.315,-0.19,-0.0797143869480656,-0.09938011694159805,-0.06054966441445053,0.125,0.83
key,q_containment_today_shielded,q_containment_replicas_shielded,resource_constrained,200,-43.97933333333332,-56.17403541666667,-32.918443749999994,-0.06,-0.095,-0.03,-0.045,-0.075,-0.02,-0.03996094041902876,-0.06400025409564512,-0.01837245689005557,0.19,0.79
vs_passive,passive,disconnect,pooled,600,73.739375,68.05371979166665,78.81111458333332,0.12666666666666668,0.1,0.15333333333333332,0.18833333333333332,0.15833333333333333,0.21833333333333332,-0.14100892246491034,-0.15112656312793954,-0.13091754034748646,0.8266666666666667,0.12333333333333334
vs_passive,passive,disconnect,high_capacity,200,126.95579166666667,117.09073854166667,136.18993541666666,0.32,0.26,0.385,0.46,0.39,0.535,-0.003346716002031623,-0.0048464553240814895,-0.002035749427216332,0.955,0.0
