detection_delay,cost_frac,n,open,static,reactive,best_static,best_static_name,winner,reactive_minus_static,rms_lo,rms_hi,reactive_minus_open,rmo_lo,rmo_hi,reactive_minus_best_static,rmb_lo,rmb_hi,reactive_sig_best
1,0.0,150,9.848500000000001,3.7001666666666666,3.9225,3.0536666666666665,static,static,0.2223333333333333,-0.5517125,0.9865041666666666,-5.926000000000001,-8.055525000000001,-4.065029166666669,0.8688333333333337,0.12013750000000004,1.634341666666667,False
1,0.15,150,9.201000000000002,3.6655,3.4395,2.8905,static,reactive,-0.22599999999999995,-1.0253708333333333,0.5129916666666658,-5.761499999999999,-7.772341666666668,-3.8813125000000004,0.5489999999999999,-0.05268749999999991,1.1872041666666657,False
1,0.3,150,9.836833333333335,3.720333333333334,3.6026666666666673,2.964166666666667,static,reactive,-0.11766666666666661,-0.8266875,0.5940291666666664,-6.234166666666667,-8.276879166666667,-4.495404166666668,0.6385000000000001,-0.0034124999999999737,1.3245208333333331,False
1,0.45,150,10.252666666666668,55.039833333333334,6.498333333333333,8.891,open,reactive,-48.5415,-53.67417083333333,-43.259162499999995,-3.7543333333333337,-6.094458333333334,-1.6408166666666697,-2.3926666666666665,-4.387183333333333,-0.5790916666666672,True
2,0.0,150,37.02216666666667,6.3134999999999994,7.533,5.799666666666667,static,static,1.2195,-0.3373624999999999,2.763520833333333,-29.489166666666666,-34.250304166666666,-24.624095833333335,1.7333333333333336,0.18944166666666692,3.257187499999999,False
2,0.15,150,32.56633333333333,4.815833333333333,6.447166666666666,4.427166666666667,static,static,1.6313333333333333,0.17869999999999994,3.275016666666665,-26.11916666666667,-30.63380833333334,-21.2973125,2.02,0.5870166666666665,3.6248499999999986,False
2,0.3,150,36.51316666666667,4.522666666666667,7.864500000000001,4.059500000000001,static,static,3.3418333333333337,1.4938,5.5930333333333335,-28.64866666666666,-33.585058333333336,-23.965187500000006,3.805,1.9942374999999999,5.957233333333332,False
2,0.45,150,35.16466666666667,56.96716666666667,11.032666666666668,27.039,open,reactive,-45.93449999999999,-51.12209583333333,-40.7979,-24.132000000000005,-28.758274999999998,-19.15045833333333,-16.00633333333333,-19.998525,-11.69330416666667,True
3,0.0,150,61.78533333333333,10.569,13.847333333333333,10.349333333333334,static,static,3.2783333333333333,0.5402333333333333,6.525545833333332,-47.938,-54.04878333333332,-41.559295833333344,3.498,0.7412375000000001,6.682845833333328,False
3,0.15,150,60.43200000000001,12.411666666666667,14.408666666666669,11.267333333333333,static,static,1.997,-2.284500000000001,5.994291666666665,-46.02333333333333,-52.017725000000006,-39.88481666666667,3.141333333333333,-0.5419458333333337,6.930729166666662,False
3,0.3,150,60.36833333333333,9.2805,15.973000000000003,8.5335,static,static,6.6925,3.105770833333333,10.634491666666662,-44.39533333333333,-50.47371249999999,-38.04209166666667,7.439500000000002,4.099466666666666,11.163841666666663,False
3,0.45,150,58.53283333333333,62.12433333333334,26.690833333333334,41.72950000000001,open,reactive,-35.433499999999995,-41.77020833333333,-28.89365833333333,-31.842000000000002,-38.491308333333336,-25.274879166666672,-15.038666666666664,-20.703875,-9.726529166666667,True
6,0.0,150,114.51533333333333,64.19333333333334,81.81083333333333,59.840500000000006,static,static,17.617500000000003,7.130504166666666,27.65387916666667,-32.7045,-42.135529166666664,-23.80199166666667,21.970333333333333,12.07815416666667,31.649954166666664,False
6,0.15,150,113.00316666666666,55.64116666666667,80.75783333333334,53.05866666666666,static,static,25.116666666666664,14.8033625,35.4028375,-32.24533333333334,-41.33979583333333,-23.469004166666682,27.699166666666667,17.430549999999997,37.97477499999999,False
6,0.3,150,112.54083333333334,61.01716666666667,85.35416666666667,56.55783333333334,static,static,24.337,14.403108333333334,34.528400000000005,-27.186666666666667,-36.0746875,-18.847191666666674,28.796333333333326,19.282687500000005,38.635975,False
6,0.45,150,114.00183333333334,106.29299999999998,102.2445,84.25633333333333,static,reactive,-4.048499999999997,-12.657212499999996,4.680054166666663,-11.757333333333333,-22.800499999999996,-1.3877541666666697,17.988166666666668,9.14591666666667,26.381454166666657,False
12,0.0,150,188.19799999999998,153.073,171.58716666666666,143.99299999999997,static,static,18.514166666666668,6.5871375000000025,30.95780416666666,-16.610833333333332,-25.44730416666667,-8.523491666666668,27.594166666666666,16.503079166666662,39.603645833333324,False
12,0.15,150,186.97766666666666,147.81766666666667,175.00783333333334,141.2686666666667,static,static,27.190166666666663,15.180645833333331,39.20225,-11.969833333333334,-20.788462500000005,-4.230508333333335,33.73916666666667,22.15179583333333,45.491120833333326,False
12,0.3,150,188.5665,158.1575,174.4045,147.06716666666668,static,static,16.247000000000007,4.693150000000001,28.170749999999998,-14.161999999999999,-24.438808333333334,-5.252870833333332,27.337333333333337,16.343333333333337,38.66342916666666,False
12,0.45,150,190.9718333333333,179.40683333333334,190.52783333333332,161.64833333333334,static,static,11.121000000000002,2.6173041666666665,20.713320833333327,-0.44400000000000245,-9.543208333333334,7.816320833333329,28.879500000000007,20.808487499999995,37.252383333333334,False
24,0.0,150,223.68099999999995,193.47933333333333,215.75950000000003,193.12216666666666,static,static,22.280166666666666,14.213775000000002,31.49705833333334,-7.921499999999999,-11.750766666666665,-5.221270833333333,22.637333333333334,14.49140833333333,31.788420833333337,False
24,0.15,150,232.35266666666666,201.45800000000003,224.18266666666673,201.2735,static,static,22.724666666666664,13.925358333333334,32.40642083333333,-8.169999999999996,-9.776183333333334,-6.695291666666664,22.90916666666667,14.163258333333333,32.59381249999999,False
24,0.3,150,232.74350000000007,202.7075,224.49633333333333,202.47733333333332,static,static,21.788833333333333,13.947295833333339,30.65193333333333,-8.247166666666669,-13.423245833333336,-4.701145833333336,22.019000000000002,14.13502916666667,30.797741666666663,False
24,0.45,150,236.46450000000002,216.26149999999998,231.23850000000002,215.0993333333333,static,static,14.977000000000004,8.226458333333337,22.4872625,-5.226000000000001,-9.902737500000006,-1.8523125000000027,16.13916666666667,9.388354166666671,23.7144625,False
